"",BBK01.QUV523,BBK01.QUV523_FLAGS
"",Banks in Germany: Short-term loans and advances to non- residents  / Latvia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:10:22,
2001-12,0.066,
2002-01,0.045,
2002-02,0.045,
2002-03,0.033,
2002-04,0.046,
2002-05,0.027,
2002-06,0.036,
2002-07,0.054,
2002-08,0.053,
2002-09,0.099,
2002-10,0.063,
2002-11,0.056,
2002-12,0.063,
2003-01,0.058,
2003-02,0.076,
2003-03,0.071,
2003-04,0.088,
2003-05,0.087,
2003-06,0.097,
2003-07,0.094,
2003-08,0.108,
2003-09,0.114,
2003-10,0.105,
2003-11,0.130,
2003-12,0.138,
2004-01,0.154,
2004-02,0.172,
2004-03,0.193,
2004-04,0.202,
2004-05,0.145,
2004-06,0.123,
2004-07,0.143,
2004-08,0.158,
2004-09,0.185,
2004-10,0.177,
2004-11,0.165,
2004-12,0.154,
2005-01,0.159,
2005-02,0.135,
2005-03,0.136,
2005-04,0.172,
2005-05,0.176,
2005-06,0.205,
2005-07,0.185,
2005-08,0.195,
2005-09,0.190,
2005-10,0.210,
2005-11,0.192,
2005-12,0.221,
2006-01,0.230,
2006-02,0.226,
2006-03,0.284,
2006-04,0.267,
2006-05,0.271,
2006-06,0.277,
2006-07,0.334,
2006-08,0.370,
2006-09,0.388,
2006-10,0.434,
2006-11,0.465,
2006-12,0.425,
2007-01,0.411,
2007-02,0.580,
2007-03,0.584,
2007-04,0.652,
2007-05,0.621,
2007-06,0.669,
2007-07,0.507,
2007-08,0.584,
2007-09,0.651,
2007-10,0.609,
2007-11,0.593,
2007-12,0.537,
2008-01,0.563,
2008-02,0.603,
2008-03,0.650,
2008-04,0.801,
2008-05,1.060,
2008-06,0.944,
2008-07,0.873,
2008-08,0.958,
2008-09,1.241,
2008-10,1.201,
2008-11,1.096,
2008-12,0.957,
2009-01,1.025,
2009-02,0.966,
2009-03,0.808,
2009-04,0.771,
2009-05,0.736,
2009-06,0.654,
2009-07,0.624,
2009-08,0.667,
2009-09,0.684,
2009-10,0.593,
2009-11,0.677,
2009-12,0.659,
2010-01,0.689,
2010-02,0.769,
2010-03,0.649,
2010-04,0.647,
2010-05,0.322,
2010-06,0.339,
2010-07,0.377,
2010-08,0.223,
2010-09,0.158,
2010-10,0.067,
2010-11,0.068,
2010-12,0.068,
2011-01,0.008,
2011-02,0.008,
2011-03,0.011,
2011-04,0.014,
2011-05,0.007,
2011-06,0.012,
2011-07,0.016,
2011-08,0.025,
2011-09,0.010,
2011-10,0.009,
2011-11,0.009,
2011-12,0.036,
2012-01,0.007,
2012-02,0.037,
2012-03,0.033,
2012-04,0.030,
2012-05,0.027,
2012-06,0.134,
2012-07,0.046,
2012-08,0.022,
2012-09,0.043,
2012-10,0.077,
2012-11,0.091,
2012-12,0.084,
2013-01,0.111,
2013-02,0.109,
2013-03,0.124,
2013-04,0.066,
2013-05,0.118,
2013-06,0.116,
2013-07,0.090,
2013-08,0.017,
2013-09,0.021,
2013-10,0.017,
2013-11,0.041,
2013-12,0.020,
2014-01,0.036,
2014-02,0.061,
2014-03,0.038,
2014-04,0.060,
2014-05,0.044,
2014-06,0.073,
2014-07,0.104,
2014-08,0.088,
2014-09,0.072,
2014-10,0.078,
2014-11,0.015,
2014-12,0.021,
