"",BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:56,
1991-01,6.925,
1991-04,6.925,
1991-07,6.925,
1991-10,6.925,
1992-01,0.193,
1992-04,3.790,
1992-07,3.790,
1992-10,1.351,
1993-01,18.525,
1993-04,18.525,
1993-07,18.525,
1993-10,18.525,
1994-01,-49.242,
1994-04,-49.242,
1994-07,-49.242,
1994-10,-74.780,
1995-01,-2.443,
1995-04,-2.443,
1995-07,-2.443,
1995-10,-2.443,
1996-01,-9.670,
1996-04,-16.349,
1996-07,-9.670,
1996-10,-9.670,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-22.218,
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-1.278,
1999-01,-8.000,
1999-04,-8.000,
1999-07,-10.000,
1999-10,-11.000,
2000-01,46.000,
2000-04,42.000,
2000-07,42.000,
2000-10,41.974,
2001-01,-6.992,
2001-04,-256.391,
2001-07,-22.276,
2001-10,-21.992,
2002-01,24.985,
2002-04,-83.999,
2002-07,32.450,
2002-10,37.431,
2003-01,4.952,
2003-04,-61.673,
2003-07,9.037,
2003-10,10.427,
2004-01,107.144,
2004-04,105.666,
2004-07,113.055,
2004-10,117.493,
2005-01,31.140,
2005-04,22.701,
2005-07,32.912,
2005-10,34.246,
2006-01,184.375,
2006-04,169.661,
2006-07,227.143,
2006-10,235.864,
2007-01,268.933,
2007-04,-329.456,
2007-07,195.764,
2007-10,101.597,
2008-01,682.210,
2008-04,-1012.899,
2008-07,-680.590,
2008-10,-190.440,
2009-01,1.359,
2009-04,-149.884,
2009-07,28.628,
2009-10,58.899,
2010-01,3.340,
2010-04,-37.250,
2010-07,6.452,
2010-10,5.464,
2011-01,2.442,
2011-04,-48.656,
2011-07,4.452,
2011-10,-9.232,
2012-01,5.337,
2012-04,1.573,
2012-07,3.623,
2012-10,4.440,
2013-01,8.050,
2013-04,7.421,
2013-07,-3.833,
2013-10,7.113,
2014-01,7.265,Provisional value
2014-04,6.754,Provisional value
2014-07,-57.554,Provisional value
2014-10,7.485,Provisional value
