"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA._T.F._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA._T.F._Z._T._X.N_FLAGS
"",IIP - Total external financial liabilities - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:34,
1999-10,2442956,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,2891619,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,3085339,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,3135733,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,3278945,
2004-01,3394726,
2004-04,3333560,
2004-07,3417050,
2004-10,3453770,
2005-01,3599584,
2005-04,3743514,
2005-07,3819880,
2005-10,3838138,
2006-01,3965097,
2006-04,3921352,
2006-07,4025859,
2006-10,4139485,
2007-01,4289426,
2007-04,4475166,
2007-07,4590843,
2007-10,4608421,
2008-01,4630039,
2008-04,4550083,
2008-07,4649604,
2008-10,4505131,
2009-01,4494287,
2009-04,4493101,
2009-07,4535222,
2009-10,4506919,
2010-01,4662551,
2010-04,4856910,
2010-07,4921777,
2010-10,5747178,
2011-01,5529625,
2011-04,5572751,
2011-07,6162942,
2011-10,6075777,
2012-01,6271078,
2012-04,6474510,
2012-07,6487533,
2012-10,6327608,
2013-01,6240514,
2013-04,6028925,
2013-07,5870219,
2013-10,5711825,
2014-01,5762610,
2014-04,5902849,
2014-07,6053548,
