"",BBK01.OELL04H,BBK01.OELL04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:59,
2002-01,10.317,
2002-04,10.171,
2002-07,10.107,
2002-10,10.270,
2003-01,10.308,
2003-04,9.810,
2003-07,9.516,
2003-10,9.512,
2004-01,9.126,
2004-04,8.704,
2004-07,8.389,
2004-10,8.403,
2005-01,8.087,
2005-04,7.879,
2005-07,7.799,
2005-10,7.946,
2006-01,8.190,
2006-04,8.229,
2006-07,8.460,
2006-10,8.808,
2007-01,9.439,
2007-04,9.969,
2007-07,10.780,
2007-10,11.740,
2008-01,12.608,
2008-04,13.420,
2008-07,13.983,
2008-10,15.737,
2009-01,13.588,
2009-04,11.451,
2009-07,9.676,
2009-10,8.364,
2010-01,7.836,
2010-04,7.439,
2010-07,7.231,
2010-10,7.389,
2011-01,7.346,
2011-04,7.272,
2011-07,7.363,
2011-10,7.526,
2012-01,7.339,
2012-04,6.811,
2012-07,6.361,
2012-10,5.840,
2013-01,5.280,
2013-04,4.892,
2013-07,4.620,
2013-10,4.264,
2014-01,4.063,
2014-04,3.941,
2014-07,3.842,
