"",BBK01.QUW331,BBK01.QUW331_FLAGS
"",Foreign branches in Singapore: Short-term loans and advances to foreign non-banks / In the country of domicile of the branch / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:42:52,
2001-12,1.721,
2002-01,1.892,
2002-02,1.794,
2002-03,1.725,
2002-04,1.666,
2002-05,1.595,
2002-06,1.669,
2002-07,1.440,
2002-08,1.536,
2002-09,1.588,
2002-10,1.394,
2002-11,1.578,
2002-12,1.402,
2003-01,1.500,
2003-02,1.307,
2003-03,1.534,
2003-04,1.363,
2003-05,1.653,
2003-06,1.273,
2003-07,1.252,
2003-08,1.783,
2003-09,1.303,
2003-10,1.310,
2003-11,1.186,
2003-12,1.122,
2004-01,1.363,
2004-02,0.983,
2004-03,2.200,
2004-04,1.287,
2004-05,0.998,
2004-06,0.999,
2004-07,1.527,
2004-08,1.653,
2004-09,1.797,
2004-10,2.895,
2004-11,1.675,
2004-12,1.421,
2005-01,1.562,
2005-02,1.384,
2005-03,1.499,
2005-04,1.165,
2005-05,1.288,
2005-06,1.215,
2005-07,1.057,
2005-08,0.890,
2005-09,1.765,
2005-10,1.469,
2005-11,1.507,
2005-12,2.275,
2006-01,2.853,
2006-02,2.488,
2006-03,2.895,
2006-04,3.350,
2006-05,2.448,
2006-06,2.965,
2006-07,5.462,
2006-08,5.560,
2006-09,5.185,
2006-10,4.463,
2006-11,1.634,
2006-12,1.898,
2007-01,1.923,
2007-02,1.713,
2007-03,1.609,
2007-04,1.402,
2007-05,1.593,
2007-06,10.766,
2007-07,9.133,
2007-08,8.724,
2007-09,2.162,
2007-10,1.712,
2007-11,1.690,
2007-12,2.332,
2008-01,1.934,
2008-02,1.939,
2008-03,1.751,
2008-04,1.641,
2008-05,1.740,
2008-06,2.849,
2008-07,1.922,
2008-08,1.884,
2008-09,2.822,
2008-10,2.102,
2008-11,1.881,
2008-12,1.227,
2009-01,1.344,
2009-02,1.336,
2009-03,1.271,
2009-04,1.090,
2009-05,1.047,
2009-06,0.956,
2009-07,1.067,
2009-08,1.046,
2009-09,1.046,
2009-10,0.962,
2009-11,0.915,
2009-12,1.025,
2010-01,1.139,
2010-02,1.117,
2010-03,1.087,
2010-04,1.232,
2010-05,1.582,
2010-06,1.737,
2010-07,1.865,
2010-08,1.973,
2010-09,1.983,
2010-10,1.956,
2010-11,2.414,
2010-12,3.121,
2011-01,2.714,
2011-02,2.431,
2011-03,3.783,
2011-04,2.675,
2011-05,3.178,
2011-06,3.415,
2011-07,3.533,
2011-08,3.407,
2011-09,3.437,
2011-10,3.601,
2011-11,3.857,
2011-12,4.076,
2012-01,3.550,
2012-02,3.691,
2012-03,4.111,
2012-04,4.161,
2012-05,4.379,
2012-06,4.195,
2012-07,4.079,
2012-08,3.841,
2012-09,4.019,
2012-10,3.779,
2012-11,3.902,
2012-12,4.036,
2013-01,4.136,
2013-02,4.562,
2013-03,5.163,
2013-04,5.206,
2013-05,5.622,
2013-06,5.597,
2013-07,5.953,
2013-08,6.304,
2013-09,6.107,
2013-10,6.250,
2013-11,7.066,
2013-12,6.934,
2014-01,7.182,
2014-02,7.099,
2014-03,7.521,
2014-04,7.093,
2014-05,4.807,
2014-06,4.928,
2014-07,2.799,
2014-08,2.968,
2014-09,2.907,
2014-10,2.665,
2014-11,2.762,
