"",BBK01.OEAA32S,BBK01.OEAA32S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:07,
2002-01,0.093,
2002-04,0.094,
2002-07,0.096,
2002-10,0.099,
2003-01,0.099,
2003-04,0.100,
2003-07,0.097,
2003-10,0.098,
2004-01,0.097,
2004-04,0.098,
2004-07,0.098,
2004-10,0.160,
2005-01,0.163,
2005-04,0.166,
2005-07,0.164,
2005-10,0.162,
2006-01,0.162,
2006-04,0.163,
2006-07,0.161,
2006-10,0.168,
2007-01,0.168,
2007-04,0.157,
2007-07,0.156,
2007-10,0.156,
2008-01,0.154,
2008-04,0.152,
2008-07,0.154,
2008-10,0.144,
2009-01,0.140,
2009-04,0.146,
2009-07,0.149,
2009-10,0.147,
2010-01,0.153,
2010-04,0.142,
2010-07,0.143,
2010-10,0.141,
2011-01,0.141,
2011-04,0.140,
2011-07,0.140,
2011-10,0.123,
2012-01,0.121,
2012-04,0.146,
2012-07,0.145,
2012-10,0.140,
2013-01,0.137,
2013-04,0.141,
2013-07,0.141,
2013-10,0.138,
2014-01,0.137,
2014-04,0.131,
2014-07,0.127,
