"",BBK01.OEAE13I,BBK01.OEAE13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:23,
2002-01,4.457,
2002-04,3.700,
2002-07,3.713,
2002-10,3.936,
2003-01,3.660,
2003-04,3.842,
2003-07,3.297,
2003-10,2.889,
2004-01,2.628,
2004-04,2.685,
2004-07,2.957,
2004-10,2.638,
2005-01,2.602,
2005-04,2.555,
2005-07,2.611,
2005-10,2.558,
2006-01,2.276,
2006-04,2.247,
2006-07,2.223,
2006-10,2.239,
2007-01,2.135,
2007-04,2.128,
2007-07,1.902,
2007-10,1.920,
2008-01,1.819,
2008-04,1.718,
2008-07,1.748,
2008-10,1.534,
2009-01,0.999,
2009-04,1.090,
2009-07,1.076,
2009-10,0.867,
2010-01,1.005,
2010-04,0.897,
2010-07,0.891,
2010-10,0.797,
2011-01,0.798,
2011-04,0.799,
2011-07,0.730,
2011-10,0.718,
2012-01,0.631,
2012-04,0.752,
2012-07,0.716,
2012-10,0.618,
2013-01,0.543,
2013-04,0.567,
2013-07,0.575,
2013-10,0.626,
2014-01,0.815,
2014-04,1.001,
2014-07,0.940,
