"",BBSF2.M.1.P.00000.AKT01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Equity funds / Loans received,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:15,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,13,
1993-05,17,
1993-06,12,
1993-07,10,
1993-08,5,
1993-09,38,
1993-10,31,
1993-11,27,
1993-12,43,
1994-01,25,
1994-02,71,
1994-03,7,
1994-04,8,
1994-05,8,
1994-06,21,
1994-07,11,
1994-08,24,
1994-09,5,
1994-10,7,
1994-11,23,
1994-12,21,
1995-01,7,
1995-02,15,
1995-03,9,
1995-04,15,
1995-05,24,
1995-06,12,
1995-07,16,
1995-08,19,
1995-09,14,
1995-10,11,
1995-11,5,
1995-12,3,
1996-01,37,
1996-02,19,
1996-03,19,
1996-04,27,
1996-05,19,
1996-06,29,
1996-07,16,
1996-08,21,
1996-09,9,
1996-10,4,
1996-11,16,
1996-12,10,
1997-01,36,
1997-02,54,
1997-03,35,
1997-04,19,
1997-05,52,
1997-06,42,
1997-07,54,
1997-08,68,
1997-09,86,
1997-10,58,
1997-11,70,
1997-12,52,
1998-01,61,
1998-02,123,
1998-03,23,
1998-04,114,
1998-05,89,
1998-06,103,
1998-07,100,
1998-08,58,
1998-09,118,
1998-10,138,
1998-11,84,
1998-12,50,
1999-01,308,
1999-02,111,
1999-03,107,
1999-04,172,
1999-05,176,
1999-06,117,
1999-07,99,
1999-08,113,
1999-09,95,
1999-10,121,
1999-11,218,
1999-12,184,
2000-01,82,
2000-02,193,
2000-03,58,
2000-04,139,
2000-05,46,
2000-06,133,
2000-07,424,
2000-08,43,
2000-09,167,
2000-10,189,
2000-11,141,
2000-12,147,
2001-01,402,
2001-02,382,
2001-03,443,
2001-04,358,
2001-05,377,
2001-06,328,
2001-07,212,
2001-08,407,
2001-09,25,
2001-10,37,
2001-11,50,
2001-12,73,
2002-01,63,
2002-02,240,
2002-03,194,
2002-04,151,
2002-05,202,
2002-06,218,
2002-07,595,
2002-08,319,
2002-09,81,
2002-10,110,
2002-11,90,
2002-12,139,
2003-01,271,
2003-02,182,
2003-03,213,
2003-04,235,
2003-05,412,
2003-06,493,
2003-07,484,
2003-08,490,
2003-09,49,
2003-10,148,
2003-11,156,
2003-12,149,
2004-01,179,
2004-02,227,
2004-03,171,
2004-04,178,
2004-05,152,
2004-06,168,
2004-07,101,
2004-08,108,
2004-09,54,
2004-10,67,
2004-11,179,
2004-12,86,
2005-01,171,
2005-02,181,
2005-03,258,
2005-04,266,
2005-05,104,
2005-06,75,
2005-07,79,
2005-08,108,
2005-09,91,
2005-10,193,
2005-11,341,
2005-12,268,
2006-01,325,
2006-02,500,
2006-03,641,
2006-04,537,
2006-05,483,
2006-06,571,
2006-07,608,
2006-08,679,
2006-09,681,
2006-10,906,
2006-11,865,
2006-12,608,
2007-01,688,
2007-02,766,
2007-03,858,
2007-04,820,
2007-05,1184,
2007-06,722,
2007-07,675,
2007-08,637,
2007-09,592,
2007-10,776,
2007-11,774,
2007-12,835,
2008-01,924,
2008-02,713,
2008-03,634,
2008-04,434,
2008-05,532,
2008-06,446,
2008-07,394,
2008-08,369,
2008-09,335,
2008-10,320,
2008-11,237,
2008-12,73,
2009-01,52,
2009-02,86,
2009-03,30,
2009-04,49,
2009-05,30,
2009-06,67,
2009-07,92,
2009-08,373,
2009-09,68,
2009-10,55,
2009-11,355,
2009-12,63,
2010-01,99,
2010-02,83,
2010-03,116,
2010-04,99,
2010-05,83,
2010-06,95,
2010-07,116,
2010-08,78,
2010-09,91,
2010-10,93,
2010-11,93,
2010-12,90,
2011-01,91,
2011-02,102,
2011-03,111,
2011-04,121,
2011-05,67,
2011-06,661,
2011-07,178,
2011-08,101,
2011-09,76,
2011-10,86,
2011-11,90,
2011-12,61,
2012-01,106,
2012-02,113,
2012-03,117,
2012-04,117,
2012-05,95,
2012-06,79,
2012-07,108,
2012-08,135,
2012-09,90,
2012-10,54,
2012-11,113,
2012-12,122,
2013-01,98,
2013-02,146,
2013-03,93,
2013-04,140,
2013-05,105,
2013-06,134,
2013-07,101,
2013-08,84,
2013-09,117,
2013-10,79,
2013-11,111,
2013-12,699,
2014-01,91,
2014-02,96,
2014-03,75,
2014-04,96,
2014-05,123,
2014-06,116,
2014-07,122,
2014-08,33,
2014-09,287,
2014-10,96,
2014-11,161,
