"",BBEX3.M.MXN.EUR.CA.AB.A01,BBEX3.M.MXN.EUR.CA.AB.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Mexico * / EUR 1 = MXN ... (selling),
unit,MXN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:30,
1999-01,11.5179,
1999-02,10.9410,
1999-03,10.1920,
1999-04,9.9860,
1999-05,10.1260,
1999-06,9.7800,
1999-07,10.0440,
1999-08,9.9180,
1999-09,9.9400,
1999-10,10.1350,
1999-11,9.5170,
1999-12,9.5620,
2000-01,9.3260,
2000-02,9.0500,
2000-03,8.9120,
2000-04,8.5680,
2000-05,8.9140,
2000-06,9.3560,
2000-07,8.6810,
2000-08,8.1590,
2000-09,8.3300,
2000-10,8.1170,
2000-11,8.3000,
2000-12,9.0590,
2001-01,9.0820,
2001-02,8.9590,
2001-03,8.3450,
2001-04,8.2200,
2001-05,7.7690,
2001-06,7.7210,
2001-07,8.0200,
2001-08,8.3910,
2001-09,8.6650,
2001-10,8.3470,
2001-11,8.3140,
2001-12,8.2140,
2002-01,7.8860,
2002-02,7.9360,
2002-03,7.8680,
2002-04,8.4660,
2002-05,9.0380,
2002-06,9.8710,
2002-07,9.6200,
2002-08,9.7300,
2002-09,10.1250,
2002-10,10.0590,
2002-11,10.1100,
2002-12,10.8560,
2003-01,11.7630,
2003-02,11.9110,
2003-03,11.7810,
2003-04,11.5150,
2003-05,12.2039,
2003-06,11.9412,
2003-07,11.9829,
2003-08,12.0743,
2003-09,12.8201,
2003-10,12.8237,
2003-11,13.6492,
2003-12,14.1860,
2004-01,13.6769,
2004-02,13.7405,
2004-03,13.5980,
2004-04,13.6363,
2004-05,13.9594,
2004-06,13.9941,
2004-07,13.7437,
2004-08,13.7823,
2004-09,14.1183,
2004-10,14.6909,
2004-11,14.9429,
2004-12,15.1888,
2005-01,14.5731,
2005-02,14.7186,
2005-03,14.4769,
2005-04,14.3181,
2005-05,13.4038,
2005-06,13.0322,
2005-07,12.8234,
2005-08,13.1153,
2005-09,12.9614,
2005-10,12.9740,
2005-11,12.4263,
2005-12,12.5368,
2006-01,12.6682,
2006-02,12.4254,
2006-03,13.1946,
2006-04,13.8678,
2006-05,14.5885,
2006-06,14.3746,
2006-07,13.9779,
2006-08,14.0320,
2006-09,13.9165,
2006-10,13.6780,
2006-11,14.4969,
2006-12,14.2355,
2007-01,14.2817,
2007-02,14.7481,
2007-03,14.7084,
2007-04,14.8607,
2007-05,14.4593,
2007-06,14.6003,
2007-07,15.0016,
2007-08,15.1221,
2007-09,15.4920,
2007-10,15.4366,
2007-11,16.0998,
2007-12,16.0746,
2008-01,16.1072,
2008-02,16.2530,
2008-03,16.8271,
2008-04,16.3395,
2008-05,16.0213,
2008-06,16.2480,
2008-07,15.6797,
2008-08,15.1586,
2008-09,15.6604,
2008-10,16.4055,
2008-11,17.0796,
2008-12,19.2263,
2009-01,18.3000,
2009-02,19.0912,
2009-03,18.9107,
2009-04,18.3772,
2009-05,18.5741,
2009-06,18.6138,
2009-07,18.6657,
2009-08,19.0446,
2009-09,19.7732,
2009-10,19.5760,
2009-11,19.4841,
2009-12,18.8459,
2010-01,18.1977,
2010-02,17.3411,
2010-03,16.6560,
2010-04,16.3601,
2010-05,15.9130,
2010-06,15.8173,
2010-07,16.4934,
2010-08,16.7807,
2010-09,17.2306,
2010-10,17.1356,
2010-11,16.1968,
2010-12,16.5221,
2011-01,16.6482,
2011-02,16.7461,
2011-03,16.8925,
2011-04,17.0946,
2011-05,16.6409,
2011-06,16.9245,
2011-07,16.7226,
2011-08,17.8371,
2011-09,18.7469,
2011-10,18.6196,
2011-11,18.3384,
2011-12,18.0790,
2012-01,17.1654,
2012-02,17.1867,
2012-03,17.1004,
2012-04,17.2193,
2012-05,17.7290,
2012-06,16.7946,
2012-07,16.3518,
2012-08,16.6465,
2012-09,16.6271,
2012-10,16.9837,
2012-11,16.8026,
2012-12,16.9812,
2013-01,17.2315,
2013-02,16.7380,
2013-03,15.7936,
2013-04,15.8708,
2013-05,16.6530,
2013-06,16.9772,
2013-07,16.9721,
2013-08,17.7217,
2013-09,17.7623,
2013-10,17.7879,
2013-11,17.8542,
2013-12,18.0524,
2014-01,17.9979,
2014-02,18.2967,
2014-03,18.0126,
2014-04,18.1227,
2014-05,17.4932,
2014-06,17.7370,
2014-07,17.6670,
2014-08,17.2367,
2014-09,16.8908,
2014-10,16.8717,
2014-11,17.3614,
2014-12,17.9049,
2015-01,16.9010,
"","Source: Since the end of May 2003: Banco de México, Mexico City 1999 - 23 May 2003: Dresdner Bank Lateinamerika AG, Hamburg",
"","Methodology: * Since the end of May 2003, we only have data on exchange rates for the US dollar; comparable rates for the euro were calculated on the basis of the exchange rates for the US dollar in Mexico in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
