"",BBK01.OEAE35L,BBK01.OEAE35L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:17,
2002-01,0.757,
2002-04,0.728,
2002-07,0.721,
2002-10,0.694,
2003-01,0.697,
2003-04,0.664,
2003-07,0.664,
2003-10,0.775,
2004-01,0.773,
2004-04,0.760,
2004-07,0.777,
2004-10,0.820,
2005-01,0.905,
2005-04,0.861,
2005-07,0.840,
2005-10,0.835,
2006-01,0.878,
2006-04,0.842,
2006-07,0.838,
2006-10,0.900,
2007-01,0.887,
2007-04,0.871,
2007-07,0.933,
2007-10,0.965,
2008-01,1.012,
2008-04,0.998,
2008-07,1.055,
2008-10,1.046,
2009-01,1.004,
2009-04,0.945,
2009-07,0.979,
2009-10,0.868,
2010-01,0.423,
2010-04,0.441,
2010-07,0.492,
2010-10,0.502,
2011-01,0.530,
2011-04,0.478,
2011-07,0.403,
2011-10,0.344,
2012-01,0.334,
2012-04,0.336,
2012-07,0.326,
2012-10,0.294,
2013-01,0.299,
2013-04,0.296,
2013-07,0.283,
2013-10,0.276,
2014-01,0.276,
2014-04,0.266,
2014-07,0.275,
