"",BBK01.OEBB14M,BBK01.OEBB14M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:30,
2002-01,0.928,
2002-04,0.915,
2002-07,0.909,
2002-10,0.897,
2003-01,0.876,
2003-04,0.861,
2003-07,0.824,
2003-10,0.824,
2004-01,0.789,
2004-04,0.787,
2004-07,0.755,
2004-10,0.728,
2005-01,0.723,
2005-04,0.717,
2005-07,0.688,
2005-10,0.658,
2006-01,0.647,
2006-04,0.649,
2006-07,0.610,
2006-10,0.567,
2007-01,0.869,
2007-04,0.867,
2007-07,0.835,
2007-10,0.858,
2008-01,0.859,
2008-04,0.842,
2008-07,0.833,
2008-10,0.836,
2009-01,0.761,
2009-04,0.750,
2009-07,0.758,
2009-10,0.718,
2010-01,0.709,
2010-04,0.693,
2010-07,0.678,
2010-10,0.682,
2011-01,0.684,
2011-04,0.699,
2011-07,0.666,
2011-10,0.657,
2012-01,0.646,
2012-04,0.640,
2012-07,0.607,
2012-10,0.626,
2013-01,0.633,
2013-04,0.620,
2013-07,0.564,
2013-10,0.578,
2014-01,0.566,
2014-04,0.566,
2014-07,0.550,
