"",BBK01.OELL03K,BBK01.OELL03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:53,
2002-01,0.363,
2002-04,0.325,
2002-07,0.334,
2002-10,0.373,
2003-01,0.390,
2003-04,0.364,
2003-07,0.350,
2003-10,0.363,
2004-01,0.357,
2004-04,0.334,
2004-07,0.330,
2004-10,0.386,
2005-01,0.356,
2005-04,0.352,
2005-07,0.372,
2005-10,0.366,
2006-01,0.343,
2006-04,0.330,
2006-07,0.342,
2006-10,0.328,
2007-01,0.335,
2007-04,0.360,
2007-07,0.364,
2007-10,0.326,
2008-01,0.396,
2008-04,0.449,
2008-07,0.514,
2008-10,0.702,
2009-01,0.499,
2009-04,0.314,
2009-07,0.277,
2009-10,0.220,
2010-01,0.201,
2010-04,0.208,
2010-07,0.185,
2010-10,0.181,
2011-01,0.180,
2011-04,0.179,
2011-07,0.198,
2011-10,0.184,
2012-01,0.175,
2012-04,0.169,
2012-07,0.140,
2012-10,0.131,
2013-01,0.143,
2013-04,0.144,
2013-07,0.133,
2013-10,0.109,
2014-01,0.134,
2014-04,0.130,
2014-07,0.124,
