"",BBK01.OEXM01R,BBK01.OEXM01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:32,
2002-01,0.265,
2002-04,0.262,
2002-07,0.261,
2002-10,0.238,
2003-01,0.224,
2003-04,0.249,
2003-07,0.242,
2003-10,0.251,
2004-01,0.242,
2004-04,0.246,
2004-07,0.248,
2004-10,0.294,
2005-01,0.280,
2005-04,0.269,
2005-07,0.292,
2005-10,0.297,
2006-01,0.304,
2006-04,0.314,
2006-07,0.318,
2006-10,0.329,
2007-01,0.325,
2007-04,0.356,
2007-07,0.355,
2007-10,0.322,
2008-01,0.408,
2008-04,0.467,
2008-07,0.364,
2008-10,0.406,
2009-01,0.496,
2009-04,0.542,
2009-07,0.559,
2009-10,0.552,
2010-01,0.540,
2010-04,0.554,
2010-07,0.584,
2010-10,0.564,
2011-01,0.573,
2011-04,0.591,
2011-07,0.621,
2011-10,0.627,
2012-01,0.601,
2012-04,0.644,
2012-07,0.667,
2012-10,0.708,
2013-01,0.797,
2013-04,0.699,
2013-07,0.724,
2013-10,0.582,
2014-01,0.670,
2014-04,0.694,
2014-07,0.696,
