"",BBK01.CEFEN3,BBK01.CEFEN3_FLAGS
"",short-term loans                                              debtor: Rest of the world                  creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:31,
1999-01,77.7,
1999-04,68.8,
1999-07,87.1,
1999-10,100.2,
2000-01,85.0,
2000-04,94.6,
2000-07,86.2,
2000-10,76.6,
2001-01,119.1,
2001-04,100.3,
2001-07,114.6,
2001-10,81.4,
2002-01,113.5,
2002-04,105.5,
2002-07,128.1,
2002-10,110.2,
2003-01,127.2,
2003-04,108.6,
2003-07,119.3,
2003-10,127.9,
2004-01,156.9,
2004-04,115.8,
2004-07,164.4,
2004-10,156.4,
2005-01,164.1,
2005-04,150.4,
2005-07,161.5,
2005-10,174.7,
2006-01,154.8,
2006-04,152.1,
2006-07,188.3,
2006-10,173.5,
2007-01,214.7,
2007-04,222.2,
2007-07,259.9,
2007-10,280.8,
2008-01,325.9,
2008-04,302.0,
2008-07,315.6,
2008-10,279.2,
2009-01,298.3,
2009-04,324.8,
2009-07,315.8,
2009-10,306.1,
2010-01,337.9,
2010-04,394.9,
2010-07,440.1,
2010-10,449.1,
2011-01,444.2,
2011-04,471.4,
2011-07,590.5,
2011-10,579.5,
2012-01,746.2,
2012-04,852.7,
2012-07,826.4,
2012-10,775.3,
2013-01,720.0,
2013-04,699.9,
2013-07,693.7,
2013-10,631.8,
2014-01,599.0,
2014-04,599.6,
2014-07,611.7,
