"",BBFN1.M.DE.N.1.A.MY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Malaysia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:04,
1994-12,0.505,
1995-01,0.589,
1995-02,0.426,
1995-03,0.403,
1995-04,0.476,
1995-05,0.481,
1995-06,0.509,
1995-07,0.515,
1995-08,0.559,
1995-09,0.598,
1995-10,0.592,
1995-11,0.557,
1995-12,0.705,
1996-01,0.740,
1996-02,0.694,
1996-03,0.609,
1996-04,0.639,
1996-05,0.690,
1996-06,0.754,
1996-07,0.733,
1996-08,0.719,
1996-09,0.874,
1996-10,0.786,
1996-11,0.771,
1996-12,0.818,
1997-01,0.807,
1997-02,0.778,
1997-03,0.810,
1997-04,0.855,
1997-05,0.921,
1997-06,0.960,
1997-07,0.940,
1997-08,0.977,
1997-09,1.057,
1997-10,1.068,
1997-11,1.090,
1997-12,1.111,
1998-01,1.233,
1998-02,1.073,
1998-03,0.999,
1998-04,1.009,
1998-05,1.038,
1998-06,1.012,
1998-07,1.026,
1998-08,0.960,
1998-09,0.962,
1998-10,0.976,
1998-11,0.998,
1998-12,1.006,
1999-01,0.990,
1999-02,0.992,
1999-03,1.033,
1999-04,0.983,
1999-05,1.028,
1999-06,1.112,
1999-07,0.973,
1999-08,0.988,
1999-09,0.763,
1999-10,0.839,
1999-11,0.794,
1999-12,0.786,
2000-01,0.815,
2000-02,0.752,
2000-03,0.761,
2000-04,0.779,
2000-05,0.771,
2000-06,0.797,
2000-07,0.841,
2000-08,0.842,
2000-09,0.855,
2000-10,0.852,
2000-11,0.885,
2000-12,0.939,
2001-01,0.955,
2001-02,0.965,
2001-03,1.016,
2001-04,1.066,
2001-05,0.958,
2001-06,0.992,
2001-07,0.959,
2001-08,1.050,
2001-09,0.993,
2001-10,1.015,
2001-11,1.072,
2001-12,1.079,
2002-01,0.994,
2002-02,1.001,
2002-03,1.060,
2002-04,1.037,
2002-05,0.985,
2002-06,1.031,
2002-07,0.938,
2002-08,0.960,
2002-09,0.977,
2002-10,0.911,
2002-11,0.899,
2002-12,0.915,
2003-01,0.897,
2003-02,0.902,
2003-03,0.901,
2003-04,0.822,
2003-05,0.828,
2003-06,0.789,
2003-07,0.803,
2003-08,0.794,
2003-09,0.788,
2003-10,0.749,
2003-11,0.766,
2003-12,0.787,
2004-01,0.785,
2004-02,0.766,
2004-03,0.800,
2004-04,0.785,
2004-05,0.819,
2004-06,0.840,
2004-07,0.850,
2004-08,0.906,
2004-09,0.901,
2004-10,0.904,
2004-11,0.881,
2004-12,1.048,
2005-01,1.031,
2005-02,1.001,
2005-03,1.015,
2005-04,1.089,
2005-05,1.090,
2005-06,1.132,
2005-07,1.113,
2005-08,1.143,
2005-09,1.174,
2005-10,1.105,
2005-11,1.127,
2005-12,1.184,
2006-01,1.135,
2006-02,1.195,
2006-03,1.231,
2006-04,1.236,
2006-05,1.400,
2006-06,1.400,
2006-07,1.240,
2006-08,1.313,
2006-09,1.248,
2006-10,1.216,
2006-11,1.238,
2006-12,1.305,
2007-01,1.269,
2007-02,1.291,
2007-03,1.330,
2007-04,1.341,
2007-05,1.353,
2007-06,1.397,
2007-07,1.382,
2007-08,1.512,
2007-09,1.498,
2007-10,1.415,
2007-11,1.485,
2007-12,1.532,
2008-01,1.453,
2008-02,1.489,
2008-03,1.547,
2008-04,1.443,
2008-05,1.414,
2008-06,1.492,
2008-07,1.532,
2008-08,1.552,
2008-09,1.590,
2008-10,1.536,
2008-11,1.564,
2008-12,1.621,
2009-01,1.676,
2009-02,1.645,
2009-03,1.666,
2009-04,1.659,
2009-05,1.611,
2009-06,1.639,
2009-07,1.681,
2009-08,1.673,
2009-09,1.581,
2009-10,1.590,
2009-11,1.596,
2009-12,1.606,
2010-01,1.605,
2010-02,1.629,
2010-03,1.648,
2010-04,1.653,
2010-05,1.715,
2010-06,1.742,
2010-07,1.723,
2010-08,1.598,
2010-09,1.563,
2010-10,1.588,
2010-11,1.651,
2010-12,1.655,
2011-01,1.679,
2011-02,1.784,
2011-03,1.828,
2011-04,1.951,
2011-05,1.996,
2011-06,2.042,
2011-07,2.017,
2011-08,2.051,
2011-09,2.036,
2011-10,2.129,
2011-11,2.174,
2011-12,2.207,
2012-01,2.216,
2012-02,2.169,
2012-03,2.128,
2012-04,2.187,
2012-05,2.184,
2012-06,2.188,
2012-07,2.214,
2012-08,2.188,
2012-09,2.105,
2012-10,2.067,
2012-11,2.039,
2012-12,2.033,
2013-01,2.013,
2013-02,2.060,
2013-03,2.232,
2013-04,2.065,
2013-05,2.069,
2013-06,2.040,
2013-07,1.803,
2013-08,1.931,
2013-09,1.880,
2013-10,1.868,
2013-11,1.866,
2013-12,1.745,
2014-01,1.693,
2014-02,1.684,
2014-03,1.671,
2014-04,1.560,
2014-05,1.617,
2014-06,1.717,
2014-07,1.718,
2014-08,1.671,
2014-09,1.696,
2014-10,1.687,
2014-11,1.734,
2014-12,1.648,
