"",BBFN1.M.DE.N.1.A.MY.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MY.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Malaysia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:10,
1994-07,0.250,
1994-08,0.303,
1994-09,0.338,
1994-10,0.360,
1994-11,0.445,
1994-12,0.443,
1995-01,0.539,
1995-02,0.366,
1995-03,0.351,
1995-04,0.366,
1995-05,0.372,
1995-06,0.389,
1995-07,0.413,
1995-08,0.456,
1995-09,0.492,
1995-10,0.490,
1995-11,0.436,
1995-12,0.497,
1996-01,0.508,
1996-02,0.497,
1996-03,0.435,
1996-04,0.417,
1996-05,0.455,
1996-06,0.462,
1996-07,0.484,
1996-08,0.458,
1996-09,0.470,
1996-10,0.470,
1996-11,0.493,
1996-12,0.541,
1997-01,0.487,
1997-02,0.502,
1997-03,0.524,
1997-04,0.547,
1997-05,0.586,
1997-06,0.601,
1997-07,0.616,
1997-08,0.635,
1997-09,0.674,
1997-10,0.698,
1997-11,0.727,
1997-12,0.690,
1998-01,0.802,
1998-02,0.674,
1998-03,0.618,
1998-04,0.631,
1998-05,0.644,
1998-06,0.623,
1998-07,0.648,
1998-08,0.585,
1998-09,0.535,
1998-10,0.539,
1998-11,0.568,
1998-12,0.559,
1999-01,0.531,
1999-02,0.527,
1999-03,0.518,
1999-04,0.465,
1999-05,0.507,
1999-06,0.567,
1999-07,0.563,
1999-08,0.556,
1999-09,0.571,
1999-10,0.634,
1999-11,0.577,
1999-12,0.576,
2000-01,0.584,
2000-02,0.524,
2000-03,0.520,
2000-04,0.543,
2000-05,0.544,
2000-06,0.564,
2000-07,0.598,
2000-08,0.602,
2000-09,0.619,
2000-10,0.587,
2000-11,0.606,
2000-12,0.671,
2001-01,0.694,
2001-02,0.696,
2001-03,0.741,
2001-04,0.676,
2001-05,0.658,
2001-06,0.677,
2001-07,0.642,
2001-08,0.735,
2001-09,0.608,
2001-10,0.620,
2001-11,0.670,
2001-12,0.720,
2002-01,0.665,
2002-02,0.663,
2002-03,0.653,
2002-04,0.642,
2002-05,0.606,
2002-06,0.632,
2002-07,0.570,
2002-08,0.593,
2002-09,0.627,
2002-10,0.574,
2002-11,0.564,
2002-12,0.613,
2003-01,0.602,
2003-02,0.603,
2003-03,0.607,
2003-04,0.547,
2003-05,0.548,
2003-06,0.550,
2003-07,0.574,
2003-08,0.559,
2003-09,0.561,
2003-10,0.529,
2003-11,0.532,
2003-12,0.566,
2004-01,0.570,
2004-02,0.556,
2004-03,0.586,
2004-04,0.560,
2004-05,0.593,
2004-06,0.604,
2004-07,0.610,
2004-08,0.647,
2004-09,0.631,
2004-10,0.615,
2004-11,0.590,
2004-12,0.647,
2005-01,0.617,
2005-02,0.598,
2005-03,0.623,
2005-04,0.618,
2005-05,0.608,
2005-06,0.651,
2005-07,0.646,
2005-08,0.670,
2005-09,0.679,
2005-10,0.684,
2005-11,0.709,
2005-12,0.716,
2006-01,0.678,
2006-02,0.712,
2006-03,0.753,
2006-04,0.744,
2006-05,0.795,
2006-06,0.739,
2006-07,0.670,
2006-08,0.631,
2006-09,0.646,
2006-10,0.631,
2006-11,0.646,
2006-12,0.652,
2007-01,0.647,
2007-02,0.662,
2007-03,0.684,
2007-04,0.665,
2007-05,0.660,
2007-06,0.698,
2007-07,0.682,
2007-08,0.757,
2007-09,0.673,
2007-10,0.616,
2007-11,0.660,
2007-12,0.682,
2008-01,0.608,
2008-02,0.616,
2008-03,0.690,
2008-04,0.571,
2008-05,0.554,
2008-06,0.608,
2008-07,0.612,
2008-08,0.605,
2008-09,0.604,
2008-10,0.584,
2008-11,0.572,
2008-12,0.630,
2009-01,0.646,
2009-02,0.635,
2009-03,0.626,
2009-04,0.627,
2009-05,0.627,
2009-06,0.622,
2009-07,0.662,
2009-08,0.657,
2009-09,0.610,
2009-10,0.609,
2009-11,0.625,
2009-12,0.636,
2010-01,0.602,
2010-02,0.614,
2010-03,0.619,
2010-04,0.618,
2010-05,0.651,
2010-06,0.693,
2010-07,0.678,
2010-08,0.648,
2010-09,0.660,
2010-10,0.676,
2010-11,0.662,
2010-12,0.643,
2011-01,0.632,
2011-02,0.656,
2011-03,0.656,
2011-04,0.667,
2011-05,0.700,
2011-06,0.691,
2011-07,0.659,
2011-08,0.670,
2011-09,0.668,
2011-10,0.690,
2011-11,0.703,
2011-12,0.697,
2012-01,0.685,
2012-02,0.705,
2012-03,0.746,
2012-04,0.761,
2012-05,0.740,
2012-06,0.749,
2012-07,0.757,
2012-08,0.734,
2012-09,0.749,
2012-10,0.717,
2012-11,0.698,
2012-12,0.715,
2013-01,0.707,
2013-02,0.750,
2013-03,0.758,
2013-04,0.782,
2013-05,0.783,
2013-06,0.788,
2013-07,0.764,
2013-08,0.749,
2013-09,0.756,
2013-10,0.747,
2013-11,0.756,
2013-12,0.767,
2014-01,0.741,
2014-02,0.726,
2014-03,0.736,
2014-04,0.726,
2014-05,0.770,
2014-06,0.865,
2014-07,0.854,
2014-08,0.796,
2014-09,0.823,
2014-10,0.837,
2014-11,0.873,
2014-12,0.824,
