"",BBFN1.M.DE.N.1.A.CH.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Switzerland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:07,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,3.428,
1995-01,3.373,
1995-02,3.360,
1995-03,3.567,
1995-04,3.530,
1995-05,3.472,
1995-06,3.796,
1995-07,3.728,
1995-08,3.782,
1995-09,3.964,
1995-10,3.589,
1995-11,3.638,
1995-12,3.376,
1996-01,3.410,
1996-02,3.483,
1996-03,3.281,
1996-04,3.276,
1996-05,3.299,
1996-06,3.308,
1996-07,3.260,
1996-08,3.162,
1996-09,3.379,
1996-10,3.332,
1996-11,3.368,
1996-12,3.320,
1997-01,3.343,
1997-02,3.559,
1997-03,3.474,
1997-04,3.581,
1997-05,3.508,
1997-06,3.587,
1997-07,3.552,
1997-08,3.494,
1997-09,3.738,
1997-10,3.791,
1997-11,3.809,
1997-12,3.577,
1998-01,3.747,
1998-02,3.773,
1998-03,3.943,
1998-04,3.912,
1998-05,3.829,
1998-06,3.811,
1998-07,3.885,
1998-08,3.650,
1998-09,3.878,
1998-10,3.860,
1998-11,3.945,
1998-12,3.772,
1999-01,3.806,
1999-02,3.847,
1999-03,4.225,
1999-04,4.178,
1999-05,4.034,
1999-06,4.202,
1999-07,4.210,
1999-08,4.047,
1999-09,4.068,
1999-10,4.180,
1999-11,4.280,
1999-12,4.229,
2000-01,4.232,
2000-02,4.525,
2000-03,4.743,
2000-04,4.637,
2000-05,4.124,
2000-06,4.214,
2000-07,4.150,
2000-08,4.378,
2000-09,4.575,
2000-10,4.715,
2000-11,4.638,
2000-12,4.954,
2001-01,4.865,
2001-02,4.847,
2001-03,4.842,
2001-04,4.888,
2001-05,4.977,
2001-06,5.195,
2001-07,5.015,
2001-08,4.937,
2001-09,4.894,
2001-10,5.290,
2001-11,5.045,
2001-12,4.916,
2002-01,4.920,
2002-02,4.885,
2002-03,4.566,
2002-04,4.747,
2002-05,4.629,
2002-06,4.736,
2002-07,4.462,
2002-08,4.808,
2002-09,4.806,
2002-10,5.018,
2002-11,4.966,
2002-12,4.818,
2003-01,5.089,
2003-02,5.101,
2003-03,5.179,
2003-04,5.327,
2003-05,5.165,
2003-06,5.612,
2003-07,5.321,
2003-08,5.030,
2003-09,5.394,
2003-10,5.595,
2003-11,5.511,
2003-12,5.303,
2004-01,5.252,
2004-02,5.403,
2004-03,5.666,
2004-04,5.558,
2004-05,5.498,
2004-06,5.713,
2004-07,5.727,
2004-08,5.393,
2004-09,5.634,
2004-10,5.606,
2004-11,5.649,
2004-12,5.452,
2005-01,5.520,
2005-02,5.620,
2005-03,5.738,
2005-04,5.716,
2005-05,5.749,
2005-06,6.374,
2005-07,6.256,
2005-08,6.000,
2005-09,6.192,
2005-10,6.404,
2005-11,6.658,
2005-12,6.684,
2006-01,7.063,
2006-02,6.831,
2006-03,7.039,
2006-04,6.740,
2006-05,6.820,
2006-06,6.682,
2006-07,6.653,
2006-08,6.461,
2006-09,6.730,
2006-10,6.856,
2006-11,7.048,
2006-12,6.853,
2007-01,7.304,
2007-02,7.173,
2007-03,7.196,
2007-04,7.221,
2007-05,7.180,
2007-06,7.389,
2007-07,7.079,
2007-08,7.068,
2007-09,7.552,
2007-10,7.699,
2007-11,7.510,
2007-12,7.364,
2008-01,7.169,
2008-02,7.415,
2008-03,7.469,
2008-04,7.497,
2008-05,7.353,
2008-06,7.366,
2008-07,7.294,
2008-08,7.307,
2008-09,7.083,
2008-10,7.121,
2008-11,7.285,
2008-12,6.464,
2009-01,6.178,
2009-02,6.337,
2009-03,6.452,
2009-04,6.280,
2009-05,6.512,
2009-06,6.654,
2009-07,6.732,
2009-08,6.151,
2009-09,6.647,
2009-10,6.466,
2009-11,7.048,
2009-12,6.593,
2010-01,6.512,
2010-02,6.738,
2010-03,7.067,
2010-04,7.061,
2010-05,6.778,
2010-06,7.304,
2010-07,7.229,
2010-08,7.113,
2010-09,7.167,
2010-10,7.333,
2010-11,7.500,
2010-12,7.213,
2011-01,7.398,
2011-02,7.316,
2011-03,7.679,
2011-04,7.530,
2011-05,7.812,
2011-06,8.263,
2011-07,7.648,
2011-08,7.430,
2011-09,8.056,
2011-10,8.648,
2011-11,8.059,
2011-12,8.048,
2012-01,7.775,
2012-02,7.775,
2012-03,8.206,
2012-04,7.664,
2012-05,7.559,
2012-06,8.069,
2012-07,7.794,
2012-08,7.891,
2012-09,8.143,
2012-10,8.144,
2012-11,8.323,
2012-12,8.011,
2013-01,8.142,
2013-02,8.433,
2013-03,8.619,
2013-04,8.375,
2013-05,8.200,
2013-06,8.562,
2013-07,8.024,
2013-08,8.131,
2013-09,8.533,
2013-10,8.758,
2013-11,8.956,
2013-12,8.776,
2014-01,8.520,
2014-02,8.702,
2014-03,8.940,
2014-04,8.856,
2014-05,8.901,
2014-06,8.910,
2014-07,8.667,
2014-08,8.382,
2014-09,8.993,
2014-10,8.862,
2014-11,9.227,
2014-12,8.897,
