"",BBK01.OEAA27U,BBK01.OEAA27U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:50,
2002-01,0.557,
2002-04,0.542,
2002-07,0.524,
2002-10,0.519,
2003-01,0.520,
2003-04,0.511,
2003-07,0.491,
2003-10,0.465,
2004-01,0.471,
2004-04,0.461,
2004-07,0.456,
2004-10,0.441,
2005-01,0.456,
2005-04,0.464,
2005-07,0.447,
2005-10,0.425,
2006-01,0.439,
2006-04,0.428,
2006-07,0.414,
2006-10,0.389,
2007-01,0.384,
2007-04,0.380,
2007-07,0.368,
2007-10,0.366,
2008-01,0.383,
2008-04,0.385,
2008-07,0.373,
2008-10,0.367,
2009-01,0.383,
2009-04,0.365,
2009-07,0.334,
2009-10,0.316,
2010-01,0.325,
2010-04,0.331,
2010-07,0.315,
2010-10,0.298,
2011-01,0.308,
2011-04,0.314,
2011-07,0.298,
2011-10,0.290,
2012-01,0.302,
2012-04,0.308,
2012-07,0.300,
2012-10,0.288,
2013-01,0.301,
2013-04,0.290,
2013-07,0.286,
2013-10,0.279,
2014-01,0.286,
2014-04,0.282,
2014-07,0.278,
