"",BBK01.OEBK05L,BBK01.OEBK05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:17,
2002-01,0.043,
2002-04,0.053,
2002-07,0.057,
2002-10,0.019,
2003-01,0.017,
2003-04,0.024,
2003-07,0.029,
2003-10,0.029,
2004-01,0.009,
2004-04,0.020,
2004-07,0.016,
2004-10,0.019,
2005-01,0.017,
2005-04,0.024,
2005-07,0.026,
2005-10,0.026,
2006-01,0.026,
2006-04,0.024,
2006-07,0.052,
2006-10,0.021,
2007-01,0.021,
2007-04,0.019,
2007-07,0.020,
2007-10,0.018,
2008-01,0.021,
2008-04,0.018,
2008-07,0.026,
2008-10,0.044,
2009-01,0.085,
2009-04,0.088,
2009-07,0.093,
2009-10,0.111,
2010-01,0.109,
2010-04,0.100,
2010-07,0.083,
2010-10,0.093,
2011-01,0.097,
2011-04,0.103,
2011-07,0.103,
2011-10,0.143,
2012-01,0.186,
2012-04,0.241,
2012-07,0.289,
2012-10,0.335,
2013-01,0.359,
2013-04,0.325,
2013-07,0.320,
2013-10,0.316,
2014-01,0.350,
2014-04,0.451,
2014-07,0.481,
