"",BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:08,
1991-01,-795.606,
1991-04,217.488,
1991-07,1054.951,
1991-10,104.510,
1992-01,-832.777,
1992-04,-343.325,
1992-07,553.744,
1992-10,404.659,
1993-01,873.501,
1993-04,1008.279,
1993-07,1098.322,
1993-10,2400.337,
1994-01,448.838,
1994-04,1305.528,
1994-07,664.492,
1994-10,1417.357,
1995-01,-595.227,
1995-04,1542.098,
1995-07,1239.651,
1995-10,693.037,
1996-01,2148.351,
1996-04,-1137.437,
1996-07,-1307.853,
1996-10,907.794,
1997-01,75.787,
1997-04,1049.126,
1997-07,1257.019,
1997-10,2771.020,
1998-01,1998.313,
1998-04,458.181,
1998-07,686.193,
1998-10,-6300.833,
1999-01,1177.330,
1999-04,403.021,
1999-07,-472.602,
1999-10,190.107,
2000-01,1051.287,
2000-04,1050.471,
2000-07,2173.444,
2000-10,2600.276,
2001-01,181.271,
2001-04,3265.005,
2001-07,3249.907,
2001-10,4375.668,
2002-01,1830.895,
2002-04,358.146,
2002-07,539.872,
2002-10,-71.335,
2003-01,485.503,
2003-04,-1011.199,
2003-07,6093.104,
2003-10,1114.119,
2004-01,2427.604,
2004-04,-5179.084,
2004-07,3664.639,
2004-10,2190.978,
2005-01,3505.763,
2005-04,3984.579,
2005-07,3375.082,
2005-10,4080.282,
2006-01,-1850.023,
2006-04,2941.148,
2006-07,3225.705,
2006-10,9885.365,
2007-01,3566.280,
2007-04,2623.416,
2007-07,5416.685,
2007-10,-1454.835,
2008-01,2955.525,
2008-04,9669.335,
2008-07,19860.038,
2008-10,7684.354,
2009-01,-2352.391,
2009-04,9789.998,
2009-07,-12047.403,
2009-10,-10041.294,
2010-01,-5400.400,
2010-04,-4284.540,
2010-07,-16996.347,
2010-10,3206.409,
2011-01,412.120,
2011-04,1078.060,
2011-07,981.993,
2011-10,6666.013,
2012-01,-5227.790,
2012-04,-917.118,
2012-07,1435.618,
2012-10,-1258.573,
2013-01,-1029.635,
2013-04,909.277,
2013-07,-2203.372,
2013-10,-1068.009,
2014-01,917.660,Provisional value
2014-04,1938.145,Provisional value
2014-07,1897.993,Provisional value
2014-10,463.102,Provisional value
