"",BBK01.OEBJ08G,BBK01.OEBJ08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:50,
2002-01,0.036,
2002-04,0.038,
2002-07,0.035,
2002-10,0.036,
2003-01,0.044,
2003-04,0.045,
2003-07,0.050,
2003-10,0.061,
2004-01,0.054,
2004-04,0.052,
2004-07,0.055,
2004-10,0.064,
2005-01,0.074,
2005-04,0.125,
2005-07,0.063,
2005-10,0.038,
2006-01,0.022,
2006-04,0.013,
2006-07,0.012,
2006-10,0.010,
2007-01,0.009,
2007-04,0.007,
2007-07,0.007,
2007-10,0.019,
2008-01,0.022,
2008-04,0.023,
2008-07,0.025,
2008-10,0.026,
2009-01,0.026,
2009-04,0.028,
2009-07,0.041,
2009-10,0.040,
2010-01,0.036,
2010-04,0.033,
2010-07,0.034,
2010-10,0.036,
2011-01,0.033,
2011-04,0.034,
2011-07,0.034,
2011-10,0.017,
2012-01,0.021,
2012-04,0.025,
2012-07,0.033,
2012-10,0.037,
2013-01,0.041,
2013-04,0.042,
2013-07,0.037,
2013-10,0.032,
2014-01,0.027,
2014-04,0.030,
2014-07,0.028,
