"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.LU.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.LU.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Luxembourg / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:50,
2009-09,5,
2009-10,5,
2009-11,5,
2009-12,5,
2010-01,8,
2010-02,8,
2010-03,8,
2010-04,10,
2010-05,38,
2010-06,35,
2010-07,38,
2010-08,45,
2010-09,36,
2010-10,33,
2010-11,32,
2010-12,30,
2011-01,36,
2011-02,29,
2011-03,17,
2011-04,16,
2011-05,15,
2011-06,29,
2011-07,28,
2011-08,32,
2011-09,25,
2011-10,29,
2011-11,26,
2011-12,29,
2012-01,32,
2012-02,31,
2012-03,44,
2012-04,46,
2012-05,49,
2012-06,49,
2012-07,48,
2012-08,48,
2012-09,46,
2012-10,46,
2012-11,48,
2012-12,49,
2013-01,46,
2013-02,46,
2013-03,61,
2013-04,53,
2013-05,49,
2013-06,44,
2013-07,44,
2013-08,44,
2013-09,51,
2013-10,45,
2013-11,46,
2013-12,39,
2014-01,40,
2014-02,40,
2014-03,38,
2014-04,38,
2014-05,39,
2014-06,39,
2014-07,39,
2014-08,39,
2014-09,38,
2014-10,38,
2014-11,37,
