"",BBK01.OEAN03L,BBK01.OEAN03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:58,
2002-01,13.272,
2002-04,12.620,
2002-07,12.484,
2002-10,12.849,
2003-01,12.553,
2003-04,12.236,
2003-07,11.998,
2003-10,11.995,
2004-01,11.554,
2004-04,11.351,
2004-07,11.000,
2004-10,11.014,
2005-01,10.909,
2005-04,10.658,
2005-07,10.689,
2005-10,10.450,
2006-01,10.092,
2006-04,9.877,
2006-07,9.498,
2006-10,9.243,
2007-01,8.884,
2007-04,8.617,
2007-07,8.245,
2007-10,8.380,
2008-01,8.188,
2008-04,7.961,
2008-07,7.644,
2008-10,7.536,
2009-01,7.626,
2009-04,7.826,
2009-07,7.982,
2009-10,8.291,
2010-01,8.532,
2010-04,8.224,
2010-07,8.206,
2010-10,8.285,
2011-01,8.370,
2011-04,8.511,
2011-07,8.479,
2011-10,8.470,
2012-01,8.587,
2012-04,8.835,
2012-07,9.115,
2012-10,9.440,
2013-01,9.843,
2013-04,9.935,
2013-07,10.059,
2013-10,10.352,
2014-01,10.658,
2014-04,10.967,
2014-07,11.083,
