"",BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Assets - Positions - resident holder: Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:28,
1999-10,186680,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,214071,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,268747,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,313704,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,304548,
2004-01,314425,
2004-04,312117,
2004-07,327759,
2004-10,330229,
2005-01,344571,
2005-04,375085,
2005-07,380687,
2005-10,384670,
2006-01,392800,
2006-04,404639,
2006-07,430223,
2006-10,427113,
2007-01,443320,
2007-04,446075,
2007-07,438968,
2007-10,426464,
2008-01,428435,
2008-04,435330,
2008-07,440191,
2008-10,444699,
2009-01,461964,
2009-04,511167,
2009-07,557361,
2009-10,577898,
2010-01,602956,
2010-04,622514,
2010-07,652581,
2010-10,629155,
2011-01,636281,
2011-04,644958,
2011-07,640592,
2011-10,647996,
2012-01,704565,
2012-04,728386,
2012-07,773200,
2012-10,805465,
2013-01,822904,
2013-04,822393,
2013-07,840312,
2013-10,862900,
2014-01,904056,
2014-04,959562,
2014-07,988926,
