"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.GR.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.GR.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Greece,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:20,
2009-09,9612,
2009-10,10007,
2009-11,10169,
2009-12,9858,
2010-01,9003,
2010-02,9266,
2010-03,9922,
2010-04,7387,
2010-05,6553,
2010-06,5095,
2010-07,4876,
2010-08,4644,
2010-09,4874,
2010-10,4818,
2010-11,4400,
2010-12,4265,
2011-01,4352,
2011-02,4247,
2011-03,3868,
2011-04,3031,
2011-05,2585,
2011-06,2382,
2011-07,2373,
2011-08,1976,
2011-09,1541,
2011-10,1527,
2011-11,1065,
2011-12,1051,
2012-01,1002,
2012-02,890,
2012-03,311,
2012-04,267,
2012-05,124,
2012-06,124,
2012-07,113,
2012-08,120,
2012-09,127,
2012-10,158,
2012-11,167,
2012-12,103,
2013-01,115,
2013-02,130,
2013-03,118,
2013-04,128,
2013-05,133,
2013-06,121,
2013-07,135,
2013-08,127,
2013-09,143,
2013-10,163,
2013-11,188,
2013-12,189,
2014-01,185,
2014-02,208,
2014-03,213,
2014-04,231,
2014-05,293,
2014-06,299,
2014-07,256,
2014-08,262,
2014-09,249,
2014-10,227,
2014-11,235,
