"",BBEX3.M.GEL.EUR.CA.AC.A01,BBEX3.M.GEL.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Georgia / EUR 1 = GEL ... (middle),
unit,GEL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:25,
1999-01,2.4215,
1999-02,2.5775,
1999-03,2.3431,
1999-04,2.0709,
1999-05,2.0533,
1999-06,2.0075,
1999-07,1.9611,
1999-08,1.9478,
1999-09,1.9526,
1999-10,1.9776,
1999-11,2.0231,
1999-12,1.9435,
2000-01,1.9458,
2000-02,1.8974,
2000-03,1.8406,
2000-04,1.8188,
2000-05,1.8274,
2000-06,1.8742,
2000-07,1.8313,
2000-08,1.7503,
2000-09,1.7275,
2000-10,1.6544,
2000-11,1.6883,
2000-12,1.8350,
2001-01,1.9000,
2001-02,1.8564,
2001-03,1.8266,
2001-04,1.8631,
2001-05,1.7541,
2001-06,1.7657,
2001-07,1.7998,
2001-08,1.8741,
2001-09,1.8992,
2001-10,1.8862,
2001-11,1.8860,
2001-12,1.8188,
2002-01,1.8997,
2002-02,1.9090,
2002-03,1.9339,
2002-04,2.0050,
2002-05,2.0744,
2002-06,2.1652,
2002-07,2.1413,
2002-08,2.1325,
2002-09,2.1267,
2002-10,2.1297,
2002-11,2.1563,
2002-12,2.1763,
2003-01,2.3581,
2003-02,2.3443,
2003-03,2.3008,
2003-04,2.3520,
2003-05,2.5263,
2003-06,2.4124,
2003-07,2.4260,
2003-08,2.3058,
2003-09,2.4103,
2003-10,2.4590,
2003-11,2.6085,
2003-12,2.5920,
2004-01,2.6105,
2004-02,2.5185,
2004-03,2.4455,
2004-04,2.3525,
2004-05,2.3570,
2004-06,2.3303,
2004-07,2.2797,
2004-08,2.1457,
2004-09,2.2674,
2004-10,2.3310,
2004-11,2.3590,
2004-12,2.4850,
2005-01,2.3732,
2005-02,2.4150,
2005-03,2.3767,
2005-04,2.3590,
2005-05,2.2868,
2005-06,2.1818,
2005-07,2.1845,
2005-08,2.1879,
2005-09,2.1590,
2005-10,2.1844,
2005-11,2.1175,
2005-12,2.1245,
2006-01,2.1904,
2006-02,2.1637,
2006-03,2.2046,
2006-04,2.2815,
2006-05,2.3120,
2006-06,2.2233,
2006-07,2.2400,
2006-08,2.2380,
2006-09,2.1970,
2006-10,2.2120,
2006-11,2.2797,
2006-12,2.2562,
2007-01,2.2283,
2007-02,2.2660,
2007-03,2.2642,
2007-04,2.3006,
2007-05,2.2542,
2007-06,2.2455,
2007-07,2.2788,
2007-08,2.2668,
2007-09,2.3487,
2007-10,2.3377,
2007-11,2.3913,
2007-12,2.3315,
2008-01,2.3438,
2008-02,2.3459,
2008-03,2.3271,
2008-04,2.2755,
2008-05,2.2339,
2008-06,2.2325,
2008-07,2.1970,
2008-08,2.0803,
2008-09,2.0134,
2008-10,1.8712,
2008-11,2.1346,
2008-12,2.3648,
2009-01,2.1504,
2009-02,2.1308,
2009-03,2.2034,
2009-04,2.1752,
2009-05,2.3196,
2009-06,2.3293,
2009-07,2.3565,
2009-08,2.4034,
2009-09,2.4405,
2009-10,2.4920,
2009-11,2.4976,
2009-12,2.4195,
2010-01,2.4313,
2010-02,2.3632,
2010-03,2.3589,
2010-04,2.3494,
2010-05,2.2141,
2010-06,2.2484,
2010-07,2.3897,
2010-08,2.3296,
2010-09,2.4585,
2010-10,2.4595,
2010-11,2.3223,
2010-12,2.3500,
2011-01,2.4843,
2011-02,2.4216,
2011-03,2.4036,
2011-04,2.4285,
2011-05,2.3799,
2011-06,2.4054,
2011-07,2.3554,
2011-08,2.3716,
2011-09,2.2641,
2011-10,2.3491,
2011-11,2.2234,
2011-12,2.1614,
2012-01,2.1906,
2012-02,2.2350,
2012-03,2.2149,
2012-04,2.1532,
2012-05,2.0210,
2012-06,2.0704,
2012-07,2.0360,
2012-08,2.0826,
2012-09,2.1461,
2012-10,2.1509,
2012-11,2.1516,
2012-12,2.1825,
2013-01,2.2448,
2013-02,2.1659,
2013-03,2.1246,
2013-04,2.1602,
2013-05,2.1297,
2013-06,2.1566,
2013-07,2.1949,
2013-08,2.1993,
2013-09,2.2474,
2013-10,2.2985,
2013-11,2.1825,
2013-12,2.3891,
2014-01,2.4225,
2014-02,2.3879,
2014-03,2.4001,
2014-04,2.4545,
2014-05,2.4116,
2014-06,2.4081,
2014-07,2.3342,
2014-08,2.2891,
2014-09,2.2234,
2014-10,2.2097,
2014-11,2.2872,
2014-12,2.2656,
2015-01,2.3342,
"","Source: National Bank of Georgia, Tbilisi.",
