"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.DK.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.DK.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Denmark,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:37,
2009-09,4365,
2009-10,4666,
2009-11,5084,
2009-12,5338,
2010-01,5015,
2010-02,4974,
2010-03,4960,
2010-04,5177,
2010-05,5244,
2010-06,5477,
2010-07,5542,
2010-08,5772,
2010-09,5861,
2010-10,6073,
2010-11,5936,
2010-12,6070,
2011-01,5803,
2011-02,5999,
2011-03,6167,
2011-04,6202,
2011-05,6505,
2011-06,6681,
2011-07,6927,
2011-08,6927,
2011-09,6862,
2011-10,6873,
2011-11,6727,
2011-12,6823,
2012-01,6834,
2012-02,6980,
2012-03,7012,
2012-04,7022,
2012-05,7230,
2012-06,7283,
2012-07,7499,
2012-08,7631,
2012-09,7768,
2012-10,7758,
2012-11,7797,
2012-12,7938,
2013-01,7618,
2013-02,7972,
2013-03,8097,
2013-04,8175,
2013-05,8320,
2013-06,8018,
2013-07,8081,
2013-08,8141,
2013-09,8531,
2013-10,8481,
2013-11,8392,
2013-12,8414,
2014-01,8412,
2014-02,8495,
2014-03,8726,
2014-04,8739,
2014-05,9060,
2014-06,9817,
2014-07,9742,
2014-08,9770,
2014-09,9899,
2014-10,10113,
2014-11,10313,
