"",BBK01.OEAM06N,BBK01.OEAM06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:44,
2002-01,0.541,
2002-04,0.559,
2002-07,0.543,
2002-10,0.548,
2003-01,0.520,
2003-04,0.518,
2003-07,0.503,
2003-10,0.500,
2004-01,0.501,
2004-04,0.497,
2004-07,0.483,
2004-10,0.487,
2005-01,0.471,
2005-04,0.463,
2005-07,0.445,
2005-10,0.449,
2006-01,0.428,
2006-04,0.468,
2006-07,0.462,
2006-10,0.450,
2007-01,0.434,
2007-04,0.342,
2007-07,0.339,
2007-10,0.356,
2008-01,0.348,
2008-04,0.335,
2008-07,0.327,
2008-10,0.339,
2009-01,0.362,
2009-04,0.365,
2009-07,0.384,
2009-10,0.381,
2010-01,0.384,
2010-04,0.470,
2010-07,0.363,
2010-10,0.364,
2011-01,0.388,
2011-04,0.379,
2011-07,0.345,
2011-10,0.334,
2012-01,0.292,
2012-04,0.283,
2012-07,0.274,
2012-10,0.266,
2013-01,0.258,
2013-04,0.254,
2013-07,0.253,
2013-10,0.248,
2014-01,0.237,
2014-04,0.240,
2014-07,0.229,
