"",BBK01.OEAC45G,BBK01.OEAC45G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:19,
2002-01,1.097,
2002-04,1.081,
2002-07,1.032,
2002-10,1.051,
2003-01,1.001,
2003-04,0.967,
2003-07,0.923,
2003-10,0.840,
2004-01,0.712,
2004-04,0.692,
2004-07,0.655,
2004-10,0.646,
2005-01,0.636,
2005-04,0.647,
2005-07,0.643,
2005-10,0.703,
2006-01,0.677,
2006-04,0.649,
2006-07,0.726,
2006-10,0.741,
2007-01,0.776,
2007-04,0.814,
2007-07,0.819,
2007-10,0.824,
2008-01,0.823,
2008-04,0.831,
2008-07,0.822,
2008-10,0.804,
2009-01,0.777,
2009-04,0.778,
2009-07,0.784,
2009-10,0.751,
2010-01,0.722,
2010-04,0.722,
2010-07,0.711,
2010-10,0.696,
2011-01,0.695,
2011-04,0.670,
2011-07,0.688,
2011-10,0.677,
2012-01,0.675,
2012-04,0.681,
2012-07,0.655,
2012-10,0.660,
2013-01,0.667,
2013-04,0.653,
2013-07,0.650,
2013-10,0.647,
2014-01,0.646,
2014-04,0.656,
2014-07,0.626,
