"",BBK01.OEAE26P,BBK01.OEAE26P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:13,
2002-01,0.040,
2002-04,0.037,
2002-07,0.035,
2002-10,0.030,
2003-01,0.026,
2003-04,0.026,
2003-07,0.024,
2003-10,0.022,
2004-01,0.028,
2004-04,0.050,
2004-07,0.048,
2004-10,0.052,
2005-01,0.062,
2005-04,0.060,
2005-07,0.063,
2005-10,0.059,
2006-01,0.064,
2006-04,0.077,
2006-07,0.079,
2006-10,0.086,
2007-01,0.095,
2007-04,0.074,
2007-07,0.075,
2007-10,0.079,
2008-01,0.084,
2008-04,0.094,
2008-07,0.111,
2008-10,0.105,
2009-01,0.082,
2009-04,0.078,
2009-07,0.073,
2009-10,0.037,
2010-01,0.041,
2010-04,0.044,
2010-07,0.044,
2010-10,0.043,
2011-01,0.020,
2011-04,0.018,
2011-07,0.017,
2011-10,0.016,
2012-01,0.012,
2012-04,0.017,
2012-07,0.018,
2012-10,0.017,
2013-01,0.017,
2013-04,0.017,
2013-07,0.019,
2013-10,0.019,
2014-01,0.019,
2014-04,0.019,
2014-07,0.019,
