"",BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:35,
1991-01,-0.311,
1991-04,0.081,
1991-07,-0.239,
1991-10,-0.323,
1992-01,-1.011,
1992-04,-1.250,
1992-07,-0.845,
1992-10,-0.786,
1993-01,2.239,
1993-04,2.115,
1993-07,2.484,
1993-10,1.950,
1994-01,-4.354,
1994-04,-4.298,
1994-07,-4.218,
1994-10,-4.809,
1995-01,0.110,
1995-04,0.134,
1995-07,-0.067,
1995-10,0.418,
1996-01,17.910,
1996-04,-2.549,
1996-07,11.608,
1996-10,-14.171,
1997-01,50.475,
1997-04,64.303,
1997-07,-123.425,
1997-10,79.243,
1998-01,84.625,
1998-04,110.580,
1998-07,72.067,
1998-10,-84.064,
1999-01,265.092,
1999-04,24.442,
1999-07,273.739,
1999-10,75.609,
2000-01,-67.199,
2000-04,121.120,
2000-07,94.384,
2000-10,-12.759,
2001-01,-242.584,
2001-04,-1.970,
2001-07,118.587,
2001-10,3.429,
2002-01,-182.808,
2002-04,96.759,
2002-07,-9.177,
2002-10,-286.377,
2003-01,33.338,
2003-04,-108.271,
2003-07,15.519,
2003-10,-21.562,
2004-01,99.076,
2004-04,-28.806,
2004-07,178.168,
2004-10,-193.923,
2005-01,-13.768,
2005-04,-36.394,
2005-07,378.154,
2005-10,-112.240,
2006-01,-8.117,
2006-04,-85.726,
2006-07,391.584,
2006-10,-97.801,
2007-01,-150.416,
2007-04,-66.647,
2007-07,-35.561,
2007-10,18.123,
2008-01,365.225,
2008-04,-103.941,
2008-07,-104.319,
2008-10,322.655,
2009-01,-118.214,
2009-04,222.955,
2009-07,129.440,
2009-10,-126.914,
2010-01,23.612,
2010-04,-42.039,
2010-07,67.638,
2010-10,241.149,
2011-01,-123.470,
2011-04,-47.700,
2011-07,52.073,
2011-10,-401.139,
2012-01,68.189,
2012-04,-19.855,
2012-07,180.169,
2012-10,-200.579,
2013-01,127.898,
2013-04,-149.247,
2013-07,58.610,
2013-10,-112.980,
2014-01,255.078,Provisional value
2014-04,-278.260,Provisional value
2014-07,-39.892,Provisional value
2014-10,-13.939,Provisional value
