"",BBK01.OEAH90O,BBK01.OEAH90O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:21,
2002-01,-0.017,
2002-04,-0.020,
2002-07,-0.016,
2002-10,-0.012,
2003-01,-0.014,
2003-04,-0.011,
2003-07,-0.004,
2003-10,-0.003,
2004-01,0.014,
2004-04,0.018,
2004-07,0.015,
2004-10,0.015,
2005-01,0.016,
2005-04,0.011,
2005-07,0.011,
2005-10,0.011,
2006-01,0.013,
2006-04,0.003,
2006-07,0.002,
2006-10,0.006,
2007-01,0.010,
2007-04,0.012,
2007-07,0.014,
2007-10,0.015,
2008-01,0.014,
2008-04,0.018,
2008-07,0.021,
2008-10,0.025,
2009-01,0.015,
2009-04,0.015,
2009-07,0.016,
2009-10,0.016,
2010-01,0.013,
2010-04,0.009,
2010-07,0.009,
2010-10,0.012,
2011-01,0.014,
2011-04,0.014,
2011-07,0.010,
2011-10,0.011,
2012-01,0.011,
2012-04,0.031,
2012-07,0.040,
2012-10,0.035,
2013-01,0.024,
2013-04,0.014,
2013-07,0.014,
2013-10,0.014,
2014-01,0.007,
2014-04,0.005,
2014-07,0.005,
