"",BBK01.OEAC39U,BBK01.OEAC39U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:56,
2002-01,0.259,
2002-04,0.259,
2002-07,0.260,
2002-10,0.279,
2003-01,0.260,
2003-04,0.285,
2003-07,0.299,
2003-10,0.298,
2004-01,0.346,
2004-04,0.310,
2004-07,0.333,
2004-10,0.352,
2005-01,0.308,
2005-04,0.301,
2005-07,0.323,
2005-10,0.331,
2006-01,0.324,
2006-04,0.314,
2006-07,0.315,
2006-10,0.328,
2007-01,0.315,
2007-04,0.303,
2007-07,0.294,
2007-10,0.240,
2008-01,0.240,
2008-04,0.239,
2008-07,0.226,
2008-10,0.222,
2009-01,0.219,
2009-04,0.191,
2009-07,0.192,
2009-10,0.206,
2010-01,0.223,
2010-04,0.231,
2010-07,0.245,
2010-10,0.244,
2011-01,0.250,
2011-04,0.258,
2011-07,0.255,
2011-10,0.239,
2012-01,0.231,
2012-04,0.247,
2012-07,0.247,
2012-10,0.264,
2013-01,0.260,
2013-04,0.270,
2013-07,0.282,
2013-10,0.276,
2014-01,0.271,
2014-04,0.289,
2014-07,0.254,
