"",BBK01.OECB01G,BBK01.OECB01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:41,
2002-01,22.099,
2002-04,21.568,
2002-07,21.423,
2002-10,20.488,
2003-01,19.340,
2003-04,19.285,
2003-07,19.298,
2003-10,18.590,
2004-01,18.506,
2004-04,18.452,
2004-07,18.100,
2004-10,17.618,
2005-01,20.443,
2005-04,21.341,
2005-07,20.510,
2005-10,19.968,
2006-01,20.958,
2006-04,21.400,
2006-07,21.132,
2006-10,20.552,
2007-01,21.021,
2007-04,21.715,
2007-07,22.043,
2007-10,21.718,
2008-01,22.417,
2008-04,22.924,
2008-07,23.341,
2008-10,23.299,
2009-01,24.795,
2009-04,28.942,
2009-07,28.151,
2009-10,26.412,
2010-01,27.048,
2010-04,26.986,
2010-07,25.892,
2010-10,24.941,
2011-01,25.016,
2011-04,24.945,
2011-07,24.651,
2011-10,24.196,
2012-01,24.127,
2012-04,24.475,
2012-07,23.810,
2012-10,23.244,
2013-01,24.080,
2013-04,24.398,
2013-07,24.367,
2013-10,24.217,
2014-01,24.826,
2014-04,25.187,
2014-07,25.077,
