"",BBK01.OEAG04M,BBK01.OEAG04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:24,
2002-01,10.443,
2002-04,10.016,
2002-07,10.453,
2002-10,10.797,
2003-01,11.285,
2003-04,12.218,
2003-07,12.367,
2003-10,13.171,
2004-01,13.283,
2004-04,13.383,
2004-07,13.507,
2004-10,13.719,
2005-01,14.194,
2005-04,14.231,
2005-07,14.239,
2005-10,14.634,
2006-01,14.946,
2006-04,15.022,
2006-07,14.822,
2006-10,14.813,
2007-01,14.955,
2007-04,14.739,
2007-07,14.346,
2007-10,14.334,
2008-01,14.680,
2008-04,14.435,
2008-07,14.045,
2008-10,13.976,
2009-01,13.949,
2009-04,13.867,
2009-07,14.313,
2009-10,14.145,
2010-01,14.023,
2010-04,14.015,
2010-07,14.038,
2010-10,14.210,
2011-01,14.262,
2011-04,14.017,
2011-07,13.943,
2011-10,14.151,
2012-01,13.936,
2012-04,13.963,
2012-07,14.016,
2012-10,13.725,
2013-01,13.791,
2013-04,13.600,
2013-07,13.163,
2013-10,13.250,
2014-01,13.118,
2014-04,13.137,
2014-07,12.975,
