"",BBK01.OEHK04M,BBK01.OEHK04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:45,
2002-01,0.729,
2002-04,0.737,
2002-07,0.718,
2002-10,0.721,
2003-01,0.701,
2003-04,0.646,
2003-07,0.627,
2003-10,0.585,
2004-01,0.582,
2004-04,0.555,
2004-07,0.513,
2004-10,0.499,
2005-01,0.472,
2005-04,0.465,
2005-07,0.462,
2005-10,0.451,
2006-01,0.523,
2006-04,0.513,
2006-07,0.548,
2006-10,0.640,
2007-01,0.655,
2007-04,0.647,
2007-07,0.707,
2007-10,0.852,
2008-01,0.877,
2008-04,0.919,
2008-07,1.033,
2008-10,1.102,
2009-01,0.581,
2009-04,0.387,
2009-07,0.312,
2009-10,0.251,
2010-01,0.261,
2010-04,0.240,
2010-07,0.254,
2010-10,0.245,
2011-01,0.259,
2011-04,0.287,
2011-07,0.311,
2011-10,0.286,
2012-01,0.282,
2012-04,0.238,
2012-07,0.200,
2012-10,0.155,
2013-01,0.130,
2013-04,0.119,
2013-07,0.110,
2013-10,0.127,
2014-01,0.106,
2014-04,0.100,
2014-07,0.100,
