"",BBK01.OEAH33J,BBK01.OEAH33J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:07,
2002-01,5.638,
2002-04,5.704,
2002-07,5.763,
2002-10,5.926,
2003-01,5.735,
2003-04,5.808,
2003-07,5.900,
2003-10,6.134,
2004-01,6.388,
2004-04,6.659,
2004-07,7.077,
2004-10,7.425,
2005-01,7.921,
2005-04,7.970,
2005-07,8.090,
2005-10,8.758,
2006-01,8.849,
2006-04,9.254,
2006-07,9.619,
2006-10,9.756,
2007-01,10.223,
2007-04,10.240,
2007-07,10.486,
2007-10,10.721,
2008-01,10.985,
2008-04,11.110,
2008-07,11.069,
2008-10,11.178,
2009-01,11.456,
2009-04,11.580,
2009-07,11.446,
2009-10,11.543,
2010-01,11.509,
2010-04,11.240,
2010-07,11.097,
2010-10,11.050,
2011-01,10.984,
2011-04,10.948,
2011-07,10.805,
2011-10,10.578,
2012-01,10.478,
2012-04,10.314,
2012-07,10.024,
2012-10,9.704,
2013-01,9.525,
2013-04,8.064,
2013-07,7.130,
2013-10,6.950,
2014-01,5.285,
2014-04,5.079,
2014-07,5.017,
