"",BBK01.OECI07H,BBK01.OECI07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:59,
2002-01,8.889,
2002-04,7.844,
2002-07,7.848,
2002-10,8.339,
2003-01,9.363,
2003-04,9.986,
2003-07,11.632,
2003-10,12.218,
2004-01,12.901,
2004-04,14.204,
2004-07,14.832,
2004-10,15.460,
2005-01,21.613,
2005-04,21.881,
2005-07,21.974,
2005-10,21.029,
2006-01,20.460,
2006-04,19.829,
2006-07,18.832,
2006-10,18.196,
2007-01,18.281,
2007-04,17.769,
2007-07,17.007,
2007-10,17.078,
2008-01,16.846,
2008-04,16.955,
2008-07,16.459,
2008-10,16.839,
2009-01,18.703,
2009-04,19.568,
2009-07,20.073,
2009-10,20.507,
2010-01,20.864,
2010-04,20.860,
2010-07,21.053,
2010-10,21.358,
2011-01,21.228,
2011-04,20.586,
2011-07,20.142,
2011-10,20.056,
2012-01,20.946,
2012-04,20.497,
2012-07,20.657,
2012-10,21.214,
2013-01,21.099,
2013-04,20.842,
2013-07,20.315,
2013-10,20.157,
2014-01,19.841,
2014-04,19.715,
2014-07,19.863,
