"",BBK01.OEAD01P,BBK01.OEAD01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:56,
2002-01,1.304,
2002-04,1.344,
2002-07,1.303,
2002-10,1.199,
2003-01,1.253,
2003-04,1.265,
2003-07,1.234,
2003-10,1.209,
2004-01,1.183,
2004-04,1.161,
2004-07,1.110,
2004-10,1.066,
2005-01,1.060,
2005-04,1.092,
2005-07,1.062,
2005-10,1.032,
2006-01,1.008,
2006-04,1.077,
2006-07,1.054,
2006-10,1.069,
2007-01,1.058,
2007-04,1.088,
2007-07,1.057,
2007-10,1.080,
2008-01,1.142,
2008-04,1.234,
2008-07,1.216,
2008-10,1.239,
2009-01,1.243,
2009-04,1.247,
2009-07,1.243,
2009-10,1.254,
2010-01,1.264,
2010-04,1.320,
2010-07,1.360,
2010-10,1.349,
2011-01,1.379,
2011-04,1.414,
2011-07,1.413,
2011-10,1.393,
2012-01,1.441,
2012-04,1.433,
2012-07,1.405,
2012-10,1.403,
2013-01,1.417,
2013-04,1.391,
2013-07,1.403,
2013-10,1.373,
2014-01,1.344,
2014-04,1.316,
2014-07,1.348,
