"",BBFN1.M.DE.N.1.A.ID.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ID.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Indonesia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:55,
1994-12,0.571,
1995-01,0.655,
1995-02,0.649,
1995-03,0.641,
1995-04,0.564,
1995-05,0.594,
1995-06,0.578,
1995-07,0.558,
1995-08,0.578,
1995-09,0.621,
1995-10,0.597,
1995-11,0.615,
1995-12,0.622,
1996-01,0.604,
1996-02,0.603,
1996-03,0.630,
1996-04,0.659,
1996-05,0.637,
1996-06,0.655,
1996-07,0.652,
1996-08,0.664,
1996-09,0.661,
1996-10,0.665,
1996-11,0.675,
1996-12,0.709,
1997-01,0.711,
1997-02,0.740,
1997-03,0.759,
1997-04,0.784,
1997-05,0.796,
1997-06,0.852,
1997-07,0.871,
1997-08,0.855,
1997-09,0.823,
1997-10,0.851,
1997-11,0.817,
1997-12,0.804,
1998-01,0.846,
1998-02,0.957,
1998-03,0.870,
1998-04,0.832,
1998-05,0.828,
1998-06,0.836,
1998-07,0.852,
1998-08,0.844,
1998-09,0.848,
1998-10,0.876,
1998-11,0.890,
1998-12,0.924,
1999-01,0.930,
1999-02,0.973,
1999-03,0.984,
1999-04,0.858,
1999-05,1.019,
1999-06,0.957,
1999-07,0.946,
1999-08,0.936,
1999-09,0.905,
1999-10,0.947,
1999-11,0.944,
1999-12,0.939,
2000-01,0.947,
2000-02,0.979,
2000-03,0.987,
2000-04,0.987,
2000-05,0.983,
2000-06,0.672,
2000-07,0.679,
2000-08,0.723,
2000-09,0.685,
2000-10,0.692,
2000-11,0.706,
2000-12,0.774,
2001-01,0.735,
2001-02,0.710,
2001-03,0.698,
2001-04,0.727,
2001-05,0.703,
2001-06,0.887,
2001-07,0.722,
2001-08,0.708,
2001-09,0.831,
2001-10,0.840,
2001-11,0.824,
2001-12,0.765,
2002-01,0.629,
2002-02,0.653,
2002-03,0.708,
2002-04,0.717,
2002-05,0.728,
2002-06,0.719,
2002-07,0.719,
2002-08,0.722,
2002-09,0.716,
2002-10,0.695,
2002-11,0.737,
2002-12,0.707,
2003-01,0.673,
2003-02,0.700,
2003-03,0.535,
2003-04,0.546,
2003-05,0.562,
2003-06,0.513,
2003-07,0.495,
2003-08,0.524,
2003-09,0.463,
2003-10,0.519,
2003-11,0.497,
2003-12,0.461,
2004-01,0.467,
2004-02,0.472,
2004-03,0.440,
2004-04,0.453,
2004-05,0.483,
2004-06,0.473,
2004-07,0.429,
2004-08,0.440,
2004-09,0.446,
2004-10,0.448,
2004-11,0.435,
2004-12,0.417,
2005-01,0.407,
2005-02,0.459,
2005-03,0.480,
2005-04,0.495,
2005-05,0.475,
2005-06,0.501,
2005-07,0.504,
2005-08,0.501,
2005-09,0.493,
2005-10,0.472,
2005-11,0.490,
2005-12,0.502,
2006-01,0.528,
2006-02,0.512,
2006-03,0.524,
2006-04,0.531,
2006-05,0.538,
2006-06,0.479,
2006-07,0.534,
2006-08,0.543,
2006-09,0.538,
2006-10,0.488,
2006-11,0.480,
2006-12,0.514,
2007-01,0.515,
2007-02,0.538,
2007-03,0.542,
2007-04,0.560,
2007-05,0.583,
2007-06,0.548,
2007-07,0.570,
2007-08,0.677,
2007-09,0.601,
2007-10,0.599,
2007-11,0.614,
2007-12,0.669,
2008-01,0.663,
2008-02,0.678,
2008-03,0.677,
2008-04,0.753,
2008-05,0.733,
2008-06,0.723,
2008-07,0.566,
2008-08,0.564,
2008-09,0.570,
2008-10,0.610,
2008-11,0.599,
2008-12,0.586,
2009-01,0.587,
2009-02,0.612,
2009-03,0.590,
2009-04,0.583,
2009-05,0.572,
2009-06,0.595,
2009-07,0.591,
2009-08,0.586,
2009-09,0.726,
2009-10,0.565,
2009-11,0.575,
2009-12,0.598,
2010-01,0.608,
2010-02,0.549,
2010-03,0.608,
2010-04,0.606,
2010-05,0.814,
2010-06,0.817,
2010-07,0.811,
2010-08,0.817,
2010-09,0.825,
2010-10,0.836,
2010-11,0.852,
2010-12,0.745,
2011-01,0.773,
2011-02,0.816,
2011-03,0.777,
2011-04,0.850,
2011-05,0.869,
2011-06,0.864,
2011-07,0.873,
2011-08,0.903,
2011-09,0.926,
2011-10,0.913,
2011-11,0.995,
2011-12,0.991,
2012-01,0.988,
2012-02,0.966,
2012-03,0.984,
2012-04,1.012,
2012-05,1.067,
2012-06,1.091,
2012-07,1.081,
2012-08,1.095,
2012-09,1.124,
2012-10,1.089,
2012-11,1.099,
2012-12,1.124,
2013-01,1.085,
2013-02,1.128,
2013-03,1.214,
2013-04,1.219,
2013-05,1.262,
2013-06,1.277,
2013-07,1.263,
2013-08,1.245,
2013-09,1.281,
2013-10,1.200,
2013-11,1.247,
2013-12,1.229,
2014-01,1.222,
2014-02,1.212,
2014-03,1.243,
2014-04,1.248,
2014-05,1.280,
2014-06,1.279,
2014-07,1.250,
2014-08,1.260,
2014-09,1.317,
2014-10,1.303,
2014-11,1.302,
2014-12,1.296,
