"",BBK01.OEAF13L,BBK01.OEAF13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:16,
2002-01,0.494,
2002-04,0.465,
2002-07,0.508,
2002-10,0.528,
2003-01,0.482,
2003-04,0.484,
2003-07,0.501,
2003-10,0.506,
2004-01,0.554,
2004-04,0.575,
2004-07,0.568,
2004-10,0.584,
2005-01,0.508,
2005-04,0.578,
2005-07,0.564,
2005-10,0.566,
2006-01,0.495,
2006-04,0.412,
2006-07,0.446,
2006-10,0.416,
2007-01,0.433,
2007-04,0.444,
2007-07,0.405,
2007-10,0.446,
2008-01,0.424,
2008-04,0.435,
2008-07,0.485,
2008-10,0.440,
2009-01,0.486,
2009-04,0.479,
2009-07,0.478,
2009-10,0.458,
2010-01,0.428,
2010-04,0.338,
2010-07,0.359,
2010-10,0.331,
2011-01,0.332,
2011-04,0.323,
2011-07,0.323,
2011-10,0.360,
2012-01,0.358,
2012-04,0.351,
2012-07,0.351,
2012-10,0.373,
2013-01,0.364,
2013-04,0.367,
2013-07,0.371,
2013-10,0.390,
2014-01,0.422,
2014-04,0.417,
2014-07,0.408,
