"",BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:52,
1991-01,0.538,
1991-04,0.538,
1991-07,0.538,
1991-10,0.538,
1992-01,-0.345,
1992-04,-0.345,
1992-07,-0.946,
1992-10,-0.345,
1993-01,-1.025,
1993-04,-1.352,
1993-07,-1.406,
1993-10,-1.025,
1994-01,0.531,
1994-04,0.531,
1994-07,0.531,
1994-10,-0.134,
1995-01,-5.573,
1995-04,-5.735,
1995-07,-5.138,
1995-10,-5.138,
1996-01,0.017,
1996-04,0.017,
1996-07,0.017,
1996-10,0.017,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-0.070,
1998-01,-0.211,
1998-04,-0.013,
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-,Nothing exists
1999-04,-,Nothing exists
1999-07,-,Nothing exists
1999-10,-,Nothing exists
2000-01,1.974,
2000-04,3.000,
2000-07,3.000,
2000-10,2.994,
2001-01,0.050,
2001-04,1.320,
2001-07,1.320,
2001-10,1.050,
2002-01,1.027,
2002-04,1.434,
2002-07,1.333,
2002-10,1.538,
2003-01,0.695,
2003-04,0.832,
2003-07,0.903,
2003-10,1.043,
2004-01,3.471,
2004-04,3.423,
2004-07,1.661,
2004-10,0.804,
2005-01,2.175,
2005-04,2.146,
2005-07,2.294,
2005-10,0.385,
2006-01,-0.419,
2006-04,-6.452,
2006-07,-0.516,
2006-10,-0.613,
2007-01,-1.280,
2007-04,-1.168,
2007-07,-0.944,
2007-10,-0.610,
2008-01,21.616,
2008-04,-12.036,
2008-07,-21.220,
2008-10,-5.956,
2009-01,-0.896,
2009-04,0.864,
2009-07,-0.622,
2009-10,4.650,
2010-01,1.768,
2010-04,-0.501,
2010-07,3.866,
2010-10,2.868,
2011-01,-5.439,
2011-04,-4.342,
2011-07,-4.452,
2011-10,-4.769,
2012-01,-7.287,
2012-04,-5.572,
2012-07,-5.623,
2012-10,-17.440,
2013-01,4.627,
2013-04,5.186,
2013-07,5.943,
2013-10,6.891,
2014-01,5.036,Provisional value
2014-04,7.144,Provisional value
2014-07,7.214,Provisional value
2014-10,-3.749,Provisional value
