"",BBFN1.M.DE.N.1.L.W1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:25,
1971-12,14.809,
1972-01,15.679,
1972-02,16.062,
1972-03,14.941,
1972-04,14.245,
1972-05,14.144,
1972-06,14.160,
1972-07,14.763,
1972-08,15.567,
1972-09,15.263,
1972-10,14.592,
1972-11,14.025,
1972-12,12.711,
1973-01,12.751,
1973-02,12.395,
1973-03,12.209,
1973-04,12.150,
1973-05,12.261,
1973-06,12.155,
1973-07,12.006,
1973-08,11.941,
1973-09,11.772,
1973-10,11.870,
1973-11,11.962,
1973-12,11.672,
1974-01,11.746,
1974-02,11.978,
1974-03,12.158,
1974-04,13.031,
1974-05,13.000,
1974-06,12.892,
1974-07,13.105,
1974-08,13.296,
1974-09,13.618,
1974-10,14.291,
1974-11,14.838,
1974-12,14.831,
1975-01,15.617,
1975-02,16.628,
1975-03,16.718,
1975-04,17.134,
1975-05,16.707,
1975-06,16.888,
1975-07,17.529,
1975-08,18.677,
1975-09,18.647,
1975-10,18.741,
1975-11,18.136,
1975-12,17.243,
1976-01,17.347,
1976-02,18.048,
1976-03,18.654,
1976-04,18.996,
1976-05,18.784,
1976-06,19.504,
1976-07,18.878,
1976-08,19.195,
1976-09,19.466,
1976-10,20.068,
1976-11,19.505,
1976-12,18.600,
1977-01,19.136,
1977-02,19.770,
1977-03,20.294,
1977-04,20.360,
1977-05,21.007,
1977-06,20.984,
1977-07,21.766,
1977-08,22.039,
1977-09,22.464,
1977-10,23.570,
1977-11,24.190,
1977-12,23.986,
1978-01,24.293,
1978-02,25.161,
1978-03,24.824,
1978-04,24.098,
1978-05,23.993,
1978-06,24.295,
1978-07,24.635,
1978-08,25.459,
1978-09,25.559,
1978-10,27.288,
1978-11,27.640,
1978-12,25.540,
1979-01,25.977,
1979-02,26.152,
1979-03,25.524,
1979-04,25.487,
1979-05,25.247,
1979-06,25.868,
1979-07,26.455,
1979-08,27.059,
1979-09,27.289,
1979-10,28.427,
1979-11,28.136,
1979-12,25.341,
1980-01,28.671,
1980-02,30.763,
1980-03,31.846,
1980-04,32.125,
1980-05,32.525,
1980-06,33.305,
1980-07,34.452,
1980-08,36.348,
1980-09,36.922,
1980-10,37.404,
1980-11,37.832,
1980-12,35.652,
1981-01,38.926,
1981-02,37.997,
1981-03,40.073,
1981-04,42.398,
1981-05,43.898,
1981-06,44.740,
1981-07,46.028,
1981-08,47.099,
1981-09,47.471,
1981-10,47.478,
1981-11,47.814,
1981-12,46.187,
1982-01,48.662,
1982-02,50.389,
1982-03,50.771,
1982-04,51.402,
1982-05,52.082,
1982-06,52.583,
1982-07,53.310,
1982-08,53.715,
1982-09,53.995,
1982-10,54.005,
1982-11,54.491,
1982-12,50.547,
1983-01,53.261,
1983-02,53.665,
1983-03,53.216,
1983-04,52.419,
1983-05,52.381,
1983-06,52.884,
1983-07,53.397,
1983-08,53.716,
1983-09,53.090,
1983-10,53.784,
1983-11,53.865,
1983-12,51.851,
1984-01,52.689,
1984-02,54.184,
1984-03,53.765,
1984-04,53.937,
1984-05,53.843,
1984-06,53.888,
1984-07,54.834,
1984-08,56.058,
1984-09,55.856,
1984-10,55.791,
1984-11,56.511,
1984-12,53.005,
1985-01,53.513,
1985-02,54.936,
1985-03,54.894,
1985-04,54.571,
1985-05,54.415,
1985-06,54.948,
1985-07,54.615,
1985-08,55.620,
1985-09,54.616,
1985-10,54.476,
1985-11,54.593,
1985-12,53.879,
1986-01,54.178,
1986-02,54.172,
1986-03,54.595,
1986-04,54.463,
1986-05,53.995,
1986-06,53.141,
1986-07,52.844,
1986-08,53.039,
1986-09,51.388,
1986-10,52.709,
1986-11,51.720,
1986-12,48.144,
1987-01,49.273,
1987-02,49.917,
1987-03,49.631,
1987-04,49.017,
1987-05,48.782,
1987-06,49.270,
1987-07,49.629,
1987-08,49.965,
1987-09,50.092,
1987-10,51.183,
1987-11,51.265,
1987-12,49.756,
1988-01,51.264,
1988-02,51.575,
1988-03,51.831,
1988-04,52.496,
1988-05,53.127,
1988-06,54.371,
1988-07,54.728,
1988-08,55.239,
1988-09,55.448,
1988-10,55.790,
1988-11,55.756,
1988-12,52.855,
1989-01,54.533,
1989-02,54.336,
1989-03,55.025,
1989-04,56.015,
1989-05,56.657,
1989-06,57.561,
1989-07,57.753,
1989-08,59.271,
1989-09,59.720,
1989-10,60.658,
1989-11,61.951,
1989-12,60.301,
1990-01,62.427,
1990-02,64.337,
1990-03,66.349,
1990-04,68.408,
1990-05,67.551,
1990-06,68.171,
1990-07,68.343,
1990-08,70.160,
1990-09,71.193,
1990-10,71.785,
1990-11,73.761,
1990-12,71.673,
1991-01,73.156,
1991-02,76.286,
1991-03,78.131,
1991-04,79.988,
