"",BBFN1.M.DE.N.1.L.U2.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from advance payments received / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:49,
1995-01,4.139,
1995-02,4.153,
1995-03,4.163,
1995-04,4.185,
1995-05,4.263,
1995-06,4.334,
1995-07,4.355,
1995-08,4.539,
1995-09,4.231,
1995-10,4.287,
1995-11,4.057,
1995-12,3.607,
1996-01,3.663,
1996-02,3.861,
1996-03,3.966,
1996-04,3.986,
1996-05,4.211,
1996-06,4.192,
1996-07,4.266,
1996-08,4.323,
1996-09,4.069,
1996-10,4.111,
1996-11,4.281,
1996-12,4.015,
1997-01,4.248,
1997-02,4.253,
1997-03,4.288,
1997-04,4.397,
1997-05,4.597,
1997-06,4.629,
1997-07,4.760,
1997-08,4.917,
1997-09,4.866,
1997-10,4.767,
1997-11,4.247,
1997-12,4.195,
1998-01,4.360,
1998-02,4.481,
1998-03,4.499,
1998-04,4.659,
1998-05,4.690,
1998-06,4.677,
1998-07,4.859,
1998-08,4.735,
1998-09,4.634,
1998-10,4.719,
1998-11,4.321,
1998-12,4.125,
1999-01,4.242,
1999-02,4.203,
1999-03,4.376,
1999-04,4.423,
1999-05,4.360,
1999-06,4.476,
1999-07,4.591,
1999-08,4.724,
1999-09,4.417,
1999-10,4.495,
1999-11,4.354,
1999-12,4.126,
2000-01,4.299,
2000-02,4.493,
2000-03,4.588,
2000-04,4.692,
2000-05,4.888,
2000-06,5.028,
2000-07,5.172,
2000-08,5.186,
2000-09,5.065,
2000-10,5.211,
2000-11,5.176,
2000-12,4.968,
2001-01,5.903,
2001-02,6.022,
2001-03,6.079,
2001-04,6.412,
2001-05,6.401,
2001-06,6.748,
2001-07,6.630,
2001-08,6.937,
2001-09,6.911,
2001-10,7.066,
2001-11,6.925,
2001-12,6.993,
2002-01,7.217,
2002-02,7.423,
2002-03,7.586,
2002-04,7.246,
2002-05,7.831,
2002-06,7.836,
2002-07,7.775,
2002-08,7.987,
2002-09,7.685,
2002-10,8.161,
2002-11,7.718,
2002-12,7.508,
2003-01,7.544,
2003-02,7.702,
2003-03,7.717,
2003-04,7.825,
2003-05,7.941,
2003-06,8.080,
2003-07,8.041,
2003-08,7.838,
2003-09,7.662,
2003-10,7.711,
2003-11,7.786,
2003-12,7.404,
2004-01,7.711,
2004-02,7.700,
2004-03,8.900,
2004-04,9.060,
2004-05,9.351,
2004-06,9.047,
2004-07,9.316,
2004-08,8.700,
2004-09,8.690,
2004-10,8.818,
2004-11,8.881,
2004-12,8.451,
2005-01,8.626,
2005-02,8.741,
2005-03,9.129,
2005-04,9.166,
2005-05,9.043,
2005-06,8.970,
2005-07,8.992,
2005-08,9.171,
2005-09,8.797,
2005-10,8.983,
2005-11,9.221,
2005-12,9.110,
2006-01,9.306,
2006-02,9.484,
2006-03,9.543,
2006-04,9.825,
2006-05,9.872,
2006-06,9.726,
2006-07,9.986,
2006-08,10.329,
2006-09,10.352,
2006-10,10.437,
2006-11,10.418,
2006-12,10.252,
2007-01,10.720,
2007-02,10.810,
2007-03,10.918,
2007-04,11.385,
2007-05,11.398,
2007-06,11.681,
2007-07,12.276,
2007-08,12.515,
2007-09,12.414,
2007-10,12.545,
2007-11,12.617,
2007-12,12.627,
2008-01,13.076,
2008-02,13.516,
2008-03,13.756,
2008-04,13.794,
2008-05,14.014,
2008-06,13.986,
2008-07,14.124,
2008-08,14.390,
2008-09,14.642,
2008-10,14.684,
2008-11,14.478,
2008-12,13.657,
2009-01,13.938,
2009-02,14.126,
2009-03,13.909,
2009-04,13.547,
2009-05,13.529,
2009-06,13.186,
2009-07,13.612,
2009-08,13.957,
2009-09,13.702,
2009-10,14.117,
2009-11,14.056,
2009-12,13.595,
2010-01,14.142,
2010-02,13.934,
2010-03,13.704,
2010-04,13.685,
2010-05,13.538,
2010-06,13.601,
2010-07,13.633,
2010-08,13.784,
2010-09,13.952,
2010-10,14.546,
2010-11,14.370,
2010-12,14.460,
2011-01,15.632,
2011-02,15.899,
2011-03,16.358,
2011-04,16.608,
2011-05,16.957,
2011-06,16.785,
2011-07,16.984,
2011-08,17.363,
2011-09,17.472,
2011-10,17.684,
2011-11,17.518,
2011-12,17.331,
2012-01,17.692,
2012-02,17.242,
2012-03,16.991,
2012-04,17.262,
2012-05,17.418,
2012-06,17.296,
2012-07,17.457,
2012-08,17.717,
2012-09,18.273,
2012-10,17.854,
2012-11,17.766,
2012-12,17.196,
2013-01,17.492,
2013-02,17.687,
2013-03,17.430,
2013-04,17.856,
2013-05,17.135,
2013-06,16.644,
2013-07,16.596,
2013-08,17.314,
2013-09,17.240,
2013-10,17.862,
2013-11,17.484,
2013-12,16.832,
2014-01,17.048,
2014-02,17.376,
2014-03,17.329,
2014-04,17.472,
2014-05,17.644,
2014-06,17.404,
2014-07,17.484,
2014-08,17.536,
2014-09,17.441,
2014-10,17.285,
2014-11,17.327,
2014-12,16.918,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
