"",BBK01.OEXL01M,BBK01.OEXL01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:48,
2002-01,11.181,
2002-04,11.083,
2002-07,11.157,
2002-10,11.692,
2003-01,11.865,
2003-04,12.188,
2003-07,12.394,
2003-10,12.668,
2004-01,12.992,
2004-04,13.085,
2004-07,13.126,
2004-10,13.138,
2005-01,13.593,
2005-04,13.711,
2005-07,13.947,
2005-10,14.013,
2006-01,14.193,
2006-04,14.251,
2006-07,14.098,
2006-10,14.209,
2007-01,14.457,
2007-04,14.745,
2007-07,14.807,
2007-10,15.672,
2008-01,16.918,
2008-04,17.297,
2008-07,17.070,
2008-10,18.589,
2009-01,21.378,
2009-04,23.205,
2009-07,22.069,
2009-10,22.142,
2010-01,22.241,
2010-04,22.459,
2010-07,22.383,
2010-10,23.580,
2011-01,24.040,
2011-04,24.714,
2011-07,25.731,
2011-10,25.966,
2012-01,25.434,
2012-04,25.602,
2012-07,25.787,
2012-10,25.325,
2013-01,24.917,
2013-04,25.241,
2013-07,25.429,
2013-10,25.054,
2014-01,24.739,
2014-04,25.305,
2014-07,25.973,
