"",BBK01.OEAC05O,BBK01.OEAC05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:00,
2002-01,6.805,
2002-04,6.776,
2002-07,6.777,
2002-10,6.738,
2003-01,6.621,
2003-04,6.517,
2003-07,6.238,
2003-10,6.255,
2004-01,6.217,
2004-04,6.145,
2004-07,6.089,
2004-10,6.018,
2005-01,5.913,
2005-04,5.797,
2005-07,5.804,
2005-10,5.833,
2006-01,5.843,
2006-04,5.806,
2006-07,5.752,
2006-10,5.817,
2007-01,5.848,
2007-04,5.739,
2007-07,5.888,
2007-10,5.905,
2008-01,5.830,
2008-04,5.809,
2008-07,5.845,
2008-10,5.709,
2009-01,5.612,
2009-04,5.486,
2009-07,5.570,
2009-10,5.463,
2010-01,4.605,
2010-04,4.784,
2010-07,5.073,
2010-10,5.563,
2011-01,5.682,
2011-04,5.666,
2011-07,5.775,
2011-10,5.657,
2012-01,5.789,
2012-04,5.809,
2012-07,5.860,
2012-10,5.844,
2013-01,5.824,
2013-04,5.776,
2013-07,5.916,
2013-10,5.829,
2014-01,5.765,
2014-04,5.665,
2014-07,5.778,
