"",BBK01.OEAC13O,BBK01.OEAC13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:58,
2002-01,4.289,
2002-04,4.266,
2002-07,4.172,
2002-10,4.199,
2003-01,4.203,
2003-04,4.256,
2003-07,3.554,
2003-10,4.324,
2004-01,4.308,
2004-04,4.404,
2004-07,4.037,
2004-10,3.715,
2005-01,3.609,
2005-04,3.520,
2005-07,2.695,
2005-10,2.537,
2006-01,2.506,
2006-04,2.396,
2006-07,2.410,
2006-10,2.276,
2007-01,2.282,
2007-04,2.297,
2007-07,2.285,
2007-10,2.073,
2008-01,2.056,
2008-04,2.045,
2008-07,1.998,
2008-10,1.845,
2009-01,1.821,
2009-04,1.856,
2009-07,1.858,
2009-10,1.851,
2010-01,1.819,
2010-04,1.814,
2010-07,1.885,
2010-10,1.946,
2011-01,1.894,
2011-04,1.903,
2011-07,1.886,
2011-10,1.905,
2012-01,1.933,
2012-04,2.229,
2012-07,2.246,
2012-10,2.244,
2013-01,2.225,
2013-04,2.202,
2013-07,2.386,
2013-10,2.408,
2014-01,2.425,
2014-04,2.487,
2014-07,2.498,
