"",BBK01.OECB17I,BBK01.OECB17I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:04,
2002-01,3.352,
2002-04,3.352,
2002-07,3.341,
2002-10,3.271,
2003-01,3.257,
2003-04,3.237,
2003-07,3.241,
2003-10,3.093,
2004-01,3.061,
2004-04,3.039,
2004-07,3.033,
2004-10,2.973,
2005-01,4.053,
2005-04,4.079,
2005-07,4.147,
2005-10,4.326,
2006-01,4.225,
2006-04,4.123,
2006-07,4.142,
2006-10,4.110,
2007-01,4.112,
2007-04,4.158,
2007-07,4.130,
2007-10,4.105,
2008-01,4.091,
2008-04,4.091,
2008-07,4.141,
2008-10,4.304,
2009-01,4.068,
2009-04,5.453,
2009-07,5.431,
2009-10,5.290,
2010-01,5.263,
2010-04,5.137,
2010-07,5.134,
2010-10,5.071,
2011-01,4.961,
2011-04,4.915,
2011-07,4.872,
2011-10,4.835,
2012-01,4.922,
2012-04,4.922,
2012-07,4.945,
2012-10,5.059,
2013-01,5.064,
2013-04,5.084,
2013-07,5.155,
2013-10,5.145,
2014-01,5.199,
2014-04,5.297,
2014-07,5.434,
