"",BBK01.OEHO03R,BBK01.OEHO03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:19,
2002-01,0.517,
2002-04,0.479,
2002-07,0.344,
2002-10,0.359,
2003-01,0.474,
2003-04,0.311,
2003-07,0.323,
2003-10,0.413,
2004-01,0.522,
2004-04,0.327,
2004-07,0.316,
2004-10,0.366,
2005-01,0.345,
2005-04,0.299,
2005-07,0.268,
2005-10,0.327,
2006-01,0.441,
2006-04,0.321,
2006-07,0.314,
2006-10,0.407,
2007-01,0.458,
2007-04,0.338,
2007-07,0.334,
2007-10,0.368,
2008-01,0.407,
2008-04,0.346,
2008-07,0.336,
2008-10,0.384,
2009-01,0.347,
2009-04,0.337,
2009-07,0.297,
2009-10,0.290,
2010-01,0.288,
2010-04,0.274,
2010-07,0.252,
2010-10,0.281,
2011-01,0.327,
2011-04,0.273,
2011-07,0.252,
2011-10,0.270,
2012-01,0.266,
2012-04,0.281,
2012-07,0.239,
2012-10,0.277,
2013-01,0.250,
2013-04,0.263,
2013-07,0.223,
2013-10,0.227,
2014-01,0.234,
2014-04,0.255,
2014-07,0.221,
