"",BBK01.OEXL05M,BBK01.OEXL05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:14,
2002-01,0.188,
2002-04,0.193,
2002-07,0.192,
2002-10,0.201,
2003-01,0.200,
2003-04,0.197,
2003-07,0.200,
2003-10,0.203,
2004-01,0.210,
2004-04,0.323,
2004-07,0.323,
2004-10,0.337,
2005-01,0.364,
2005-04,0.228,
2005-07,0.241,
2005-10,0.256,
2006-01,0.264,
2006-04,0.262,
2006-07,0.267,
2006-10,0.269,
2007-01,0.277,
2007-04,0.285,
2007-07,0.576,
2007-10,0.592,
2008-01,0.588,
2008-04,0.584,
2008-07,0.560,
2008-10,0.575,
2009-01,0.596,
2009-04,0.692,
2009-07,0.714,
2009-10,0.753,
2010-01,0.780,
2010-04,0.796,
2010-07,0.792,
2010-10,0.814,
2011-01,0.814,
2011-04,0.802,
2011-07,0.783,
2011-10,0.769,
2012-01,0.756,
2012-04,0.704,
2012-07,0.681,
2012-10,0.638,
2013-01,0.599,
2013-04,0.593,
2013-07,0.599,
2013-10,0.625,
2014-01,0.628,
2014-04,0.644,
2014-07,0.644,
