"",BBFB1.M.N.DE.W1.S1.S1.T.B.SJ._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SJ._Z._Z._Z._T._X.N_FLAGS
"",Current account / Other business services / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:59,
1991-01,-684.904,
1991-02,-289.398,
1991-03,-423.826,
1991-04,-358.181,
1991-05,-422.300,
1991-06,-460.422,
1991-07,-360.688,
1991-08,-443.093,
1991-09,-412.440,
1991-10,-580.486,
1991-11,-495.258,
1991-12,-394.851,
1992-01,-641.916,
1992-02,-468.763,
1992-03,-451.319,
1992-04,-421.084,
1992-05,-538.221,
1992-06,-608.254,
1992-07,-771.597,
1992-08,-593.565,
1992-09,-407.974,
1992-10,-638.121,
1992-11,-422.974,
1992-12,-567.828,
1993-01,-676.974,
1993-02,-385.454,
1993-03,-420.085,
1993-04,-528.058,
1993-05,-517.296,
1993-06,-527.926,
1993-07,-553.645,
1993-08,-456.471,
1993-09,-365.583,
1993-10,-623.020,
1993-11,-395.389,
1993-12,-552.733,
1994-01,-401.774,
1994-02,-539.240,
1994-03,-592.003,
1994-04,-410.215,
1994-05,-421.540,
1994-06,-454.023,
1994-07,-449.847,
1994-08,-541.146,
1994-09,-601.479,
1994-10,-535.064,
1994-11,-560.163,
1994-12,-844.666,
1995-01,-626.573,
1995-02,-545.147,
1995-03,-644.875,
1995-04,-357.110,
1995-05,-582.411,
1995-06,-444.968,
1995-07,-649.245,
1995-08,-503.933,
1995-09,-398.574,
1995-10,-588.783,
1995-11,-640.418,
1995-12,-274.369,
1996-01,-807.442,
1996-02,-653.595,
1996-03,-519.434,
1996-04,-390.672,
1996-05,-640.827,
1996-06,-597.589,
1996-07,-671.651,
1996-08,-687.033,
1996-09,-505.642,
1996-10,-656.109,
1996-11,-993.455,
1996-12,-396.755,
1997-01,-1163.168,
1997-02,-706.741,
1997-03,-668.265,
1997-04,-631.898,
1997-05,-663.398,
1997-06,-343.597,
1997-07,-670.035,
1997-08,-585.785,
1997-09,-763.280,
1997-10,-692.565,
1997-11,-514.975,
1997-12,-772.478,
1998-01,-848.738,
1998-02,-847.093,
1998-03,-774.572,
1998-04,-679.566,
1998-05,-740.475,
1998-06,-650.635,
1998-07,-517.265,
1998-08,-944.159,
1998-09,-500.855,
1998-10,-927.258,
1998-11,-818.873,
1998-12,-980.430,
1999-01,-1002.472,
1999-02,-924.667,
1999-03,-556.682,
1999-04,-748.233,
1999-05,-773.889,
1999-06,-1082.120,
1999-07,-993.774,
1999-08,-1049.905,
1999-09,-990.947,
1999-10,-892.515,
1999-11,-1270.430,
1999-12,-1835.680,
2000-01,-1050.350,
2000-02,-912.742,
2000-03,-1223.175,
2000-04,-1021.108,
2000-05,-925.593,
2000-06,-1068.810,
2000-07,-1161.500,
2000-08,-1289.106,
2000-09,-1091.684,
2000-10,-1409.771,
2000-11,-1093.928,
2000-12,-1096.376,
2001-01,-2114.303,
2001-02,-1392.307,
2001-03,-1485.696,
2001-04,-1464.752,
2001-05,-1460.741,
2001-06,-1395.263,
2001-07,-2116.586,
2001-08,-1761.085,
2001-09,-1042.736,
2001-10,-778.118,
2001-11,-1197.688,
2001-12,-1485.160,
2002-01,-1859.893,
2002-02,-1519.570,
2002-03,-1315.874,
2002-04,-899.253,
2002-05,-1336.581,
2002-06,-1085.695,
2002-07,-1160.294,
2002-08,-1348.231,
2002-09,-1018.393,
2002-10,-1022.803,
2002-11,-831.691,
2002-12,-1111.140,
2003-01,-1583.116,
2003-02,-900.643,
2003-03,-698.885,
2003-04,-455.795,
2003-05,-612.550,
2003-06,-692.854,
2003-07,-812.652,
2003-08,-594.278,
2003-09,-657.094,
2003-10,-453.145,
2003-11,-381.780,
2003-12,95.407,
2004-01,-1220.426,
2004-02,-418.922,
2004-03,-488.802,
2004-04,-965.944,
2004-05,-79.689,
2004-06,-581.240,
2004-07,-641.438,
2004-08,-515.642,
2004-09,-251.925,
2004-10,-146.564,
2004-11,-441.057,
2004-12,84.096,
2005-01,-1227.283,
2005-02,-634.532,
2005-03,-466.101,
2005-04,-70.471,
2005-05,-464.552,
2005-06,-296.688,
2005-07,-63.920,
2005-08,-802.031,
2005-09,-259.327,
2005-10,-72.952,
2005-11,-459.559,
2005-12,22.671,
2006-01,-746.493,
2006-02,-536.808,
2006-03,-457.010,
2006-04,42.393,
2006-05,-543.493,
2006-06,-41.348,
2006-07,-99.150,
2006-08,-610.080,
2006-09,-169.628,
2006-10,130.145,
2006-11,-464.700,
2006-12,13.779,
2007-01,-845.664,
2007-02,-886.116,
2007-03,-277.573,
2007-04,-142.927,
2007-05,-306.855,
2007-06,-127.506,
2007-07,30.209,
2007-08,-359.796,
2007-09,-300.093,
2007-10,-113.503,
2007-11,-720.169,
2007-12,76.579,
2008-01,-149.402,
2008-02,-422.686,
2008-03,-79.110,
2008-04,-46.923,
2008-05,-26.366,
2008-06,-425.228,
2008-07,334.193,
2008-08,-234.186,
2008-09,-304.582,
2008-10,163.288,
2008-11,-300.631,
2008-12,-370.668,
2009-01,-820.039,
2009-02,-438.033,
2009-03,-631.540,
2009-04,70.389,
2009-05,4.082,
2009-06,-466.674,
2009-07,-158.502,
2009-08,-125.772,
2009-09,92.689,
2009-10,-34.405,
2009-11,-393.517,
2009-12,-220.326,
2010-01,-256.708,
2010-02,-773.103,
2010-03,-165.311,
2010-04,124.581,
2010-05,-305.071,
2010-06,-714.523,
2010-07,-522.733,
2010-08,-517.408,
2010-09,49.035,
2010-10,-158.910,
2010-11,-180.330,
2010-12,-492.016,
2011-01,-610.254,
2011-02,-805.183,
2011-03,-206.753,
2011-04,-883.636,
2011-05,-791.652,
2011-06,-344.444,
2011-07,-917.473,
2011-08,-850.525,
2011-09,286.798,
2011-10,-654.541,
2011-11,-972.643,
2011-12,-120.910,
2012-01,-1408.664,
2012-02,-1026.051,
2012-03,-554.743,
2012-04,-570.112,
2012-05,-1306.019,
2012-06,-307.253,
2012-07,-1298.799,
2012-08,-1208.544,
2012-09,147.583,
2012-10,-756.391,
2012-11,-1175.528,
2012-12,-552.928,
2013-01,-1167.893,
2013-02,-734.765,
2013-03,-233.291,
2013-04,-1113.183,
2013-05,-757.794,
2013-06,-100.505,
2013-07,-957.563,
2013-08,-446.786,
2013-09,52.854,
2013-10,-1181.020,
2013-11,-81.442,
2013-12,10.662,
2014-01,-509.741,
2014-02,-382.207,Provisional value
2014-03,311.635,Provisional value
2014-04,-192.090,Provisional value
2014-05,-519.056,Provisional value
2014-06,337.284,Provisional value
2014-07,-657.984,Provisional value
2014-08,-495.050,Provisional value
2014-09,175.327,
2014-10,-646.333,
2014-11,-560.454,
2014-12,-266.983,Provisional value
