"",BBK01.OEHI07L,BBK01.OEHI07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:04,
2002-01,22.854,
2002-04,22.248,
2002-07,21.820,
2002-10,22.149,
2003-01,21.771,
2003-04,21.603,
2003-07,21.437,
2003-10,21.873,
2004-01,21.745,
2004-04,21.561,
2004-07,21.414,
2004-10,22.073,
2005-01,22.381,
2005-04,22.109,
2005-07,21.886,
2005-10,22.220,
2006-01,22.053,
2006-04,21.955,
2006-07,21.762,
2006-10,21.863,
2007-01,21.106,
2007-04,20.356,
2007-07,19.673,
2007-10,19.293,
2008-01,18.410,
2008-04,17.714,
2008-07,17.185,
2008-10,17.401,
2009-01,17.685,
2009-04,18.219,
2009-07,18.670,
2009-10,19.366,
2010-01,19.630,
2010-04,19.746,
2010-07,19.606,
2010-10,19.839,
2011-01,19.863,
2011-04,19.814,
2011-07,19.587,
2011-10,19.670,
2012-01,19.443,
2012-04,19.278,
2012-07,19.023,
2012-10,19.004,
2013-01,18.915,
2013-04,18.757,
2013-07,18.661,
2013-10,18.896,
2014-01,18.621,
2014-04,18.296,
2014-07,17.996,
