"",BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA._T.FGED.S._T._X.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA._T.FGED.S._T._X.N_FLAGS
"",AVS - Gross external debt - Monetary financial institutions other than central bank - Short-term original maturity (up to 1 year) - Liabilities - Positions - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:41,
1999-10,544543,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,651074,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,695570,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,691488,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,681148,
2004-01,747815,
2004-04,697424,
2004-07,713849,
2004-10,701260,
2005-01,777434,
2005-04,766451,
2005-07,771268,
2005-10,752164,
2006-01,813959,
2006-04,805072,
2006-07,816787,
2006-10,804996,
2007-01,854842,
2007-04,876391,
2007-07,930925,
2007-10,899836,
2008-01,993670,
2008-04,959653,
2008-07,1000686,
2008-10,845222,
2009-01,838753,
2009-04,822202,
2009-07,779944,
2009-10,758726,
2010-01,827375,
2010-04,915095,
2010-07,903610,
2010-10,861740,
2011-01,812567,
2011-04,773724,
2011-07,881541,
2011-10,778857,
2012-01,1020145,
2012-04,982355,
2012-07,959281,
2012-10,826511,
2013-01,844535,
2013-04,829903,
2013-07,781452,
2013-10,689442,
2014-01,734982,
2014-04,750244,
2014-07,807835,
