"",BBK01.OECK02V,BBK01.OECK02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:49,
2002-01,0.378,
2002-04,0.390,
2002-07,0.414,
2002-10,0.441,
2003-01,0.399,
2003-04,0.415,
2003-07,0.412,
2003-10,0.447,
2004-01,0.435,
2004-04,0.480,
2004-07,0.482,
2004-10,0.468,
2005-01,0.517,
2005-04,0.521,
2005-07,0.533,
2005-10,0.570,
2006-01,0.581,
2006-04,0.568,
2006-07,0.565,
2006-10,0.651,
2007-01,0.604,
2007-04,0.607,
2007-07,0.630,
2007-10,0.607,
2008-01,0.618,
2008-04,0.606,
2008-07,0.616,
2008-10,0.681,
2009-01,0.704,
2009-04,0.713,
2009-07,0.751,
2009-10,0.783,
2010-01,0.779,
2010-04,0.786,
2010-07,0.816,
2010-10,0.820,
2011-01,0.786,
2011-04,0.781,
2011-07,0.786,
2011-10,0.806,
2012-01,0.792,
2012-04,0.801,
2012-07,0.835,
2012-10,0.847,
2013-01,0.849,
2013-04,0.855,
2013-07,0.895,
2013-10,0.919,
2014-01,0.924,
2014-04,0.939,
2014-07,0.948,
