"",BBK01.OEAD12Q,BBK01.OEAD12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:17,
2002-01,0.052,
2002-04,0.054,
2002-07,0.044,
2002-10,0.040,
2003-01,0.044,
2003-04,0.029,
2003-07,0.034,
2003-10,0.032,
2004-01,0.039,
2004-04,0.033,
2004-07,0.039,
2004-10,0.034,
2005-01,0.028,
2005-04,0.028,
2005-07,0.025,
2005-10,0.024,
2006-01,0.025,
2006-04,0.024,
2006-07,0.018,
2006-10,0.024,
2007-01,0.030,
2007-04,0.023,
2007-07,0.025,
2007-10,0.029,
2008-01,0.104,
2008-04,0.071,
2008-07,0.163,
2008-10,0.136,
2009-01,0.144,
2009-04,0.050,
2009-07,0.047,
2009-10,0.045,
2010-01,0.162,
2010-04,0.058,
2010-07,0.047,
2010-10,0.038,
2011-01,0.047,
2011-04,0.061,
2011-07,0.058,
2011-10,0.028,
2012-01,0.032,
2012-04,0.042,
2012-07,0.026,
2012-10,0.016,
2013-01,0.034,
2013-04,0.023,
2013-07,0.062,
2013-10,0.049,
2014-01,0.066,
2014-04,0.068,
2014-07,0.030,
