"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.SE.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.SE.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Sweden,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:21,
2009-09,1314,
2009-10,1289,
2009-11,1281,
2009-12,1243,
2010-01,1242,
2010-02,1243,
2010-03,1330,
2010-04,1395,
2010-05,1392,
2010-06,1439,
2010-07,1407,
2010-08,1468,
2010-09,1439,
2010-10,1445,
2010-11,1460,
2010-12,1432,
2011-01,1425,
2011-02,1481,
2011-03,1445,
2011-04,1413,
2011-05,1426,
2011-06,1404,
2011-07,1402,
2011-08,1439,
2011-09,1395,
2011-10,1363,
2011-11,1344,
2011-12,1353,
2012-01,1412,
2012-02,1451,
2012-03,1508,
2012-04,1468,
2012-05,1466,
2012-06,1560,
2012-07,1659,
2012-08,1566,
2012-09,1530,
2012-10,1460,
2012-11,1462,
2012-12,1445,
2013-01,1340,
2013-02,1295,
2013-03,1397,
2013-04,1463,
2013-05,1485,
2013-06,1418,
2013-07,1418,
2013-08,1383,
2013-09,1386,
2013-10,1411,
2013-11,1409,
2013-12,1339,
2014-01,1338,
2014-02,1400,
2014-03,1429,
2014-04,1408,
2014-05,1306,
2014-06,1304,
2014-07,1243,
2014-08,1289,
2014-09,1263,
2014-10,1261,
2014-11,1273,
