"",BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:06,
1991-01,0.050,
1991-04,0.301,
1991-07,0.497,
1991-10,0.349,
1992-01,-0.122,
1992-04,-0.043,
1992-07,-0.131,
1992-10,0.012,
1993-01,-0.277,
1993-04,-0.094,
1993-07,0.017,
1993-10,0.016,
1994-01,-0.141,
1994-04,-0.142,
1994-07,-0.058,
1994-10,-0.381,
1995-01,-0.166,
1995-04,0.425,
1995-07,1.567,
1995-10,0.061,
1996-01,3.222,
1996-04,7.828,
1996-07,8.805,
1996-10,1.052,
1997-01,26.070,
1997-04,-16.797,
1997-07,38.923,
1997-10,-42.262,
1998-01,5.315,
1998-04,2.585,
1998-07,86.603,
1998-10,10.370,
1999-01,-8.662,
1999-04,59.680,
1999-07,41.668,
1999-10,16.242,
2000-01,84.420,
2000-04,57.193,
2000-07,278.050,
2000-10,237.827,
2001-01,-63.183,
2001-04,69.273,
2001-07,-101.589,
2001-10,140.414,
2002-01,-137.890,
2002-04,-18.062,
2002-07,-85.346,
2002-10,173.769,
2003-01,-308.787,
2003-04,141.276,
2003-07,67.321,
2003-10,-133.120,
2004-01,-81.534,
2004-04,148.882,
2004-07,7.199,
2004-10,-166.447,
2005-01,-75.105,
2005-04,-0.197,
2005-07,68.577,
2005-10,19.742,
2006-01,-73.959,
2006-04,69.806,
2006-07,44.202,
2006-10,49.528,
2007-01,-141.266,
2007-04,-17.240,
2007-07,30.833,
2007-10,264.957,
2008-01,-167.133,
2008-04,-11.077,
2008-07,172.590,
2008-10,143.790,
2009-01,-267.502,
2009-04,-43.815,
2009-07,126.585,
2009-10,57.314,
2010-01,7.937,
2010-04,-20.401,
2010-07,-30.437,
2010-10,76.956,
2011-01,46.104,
2011-04,-176.190,
2011-07,58.310,
2011-10,98.992,
2012-01,89.683,
2012-04,-37.168,
2012-07,93.360,
2012-10,32.440,
2013-01,159.680,
2013-04,-83.857,
2013-07,23.538,
2013-10,-0.975,
2014-01,90.428,Provisional value
2014-04,14.191,Provisional value
2014-07,-5.302,Provisional value
2014-10,94.125,Provisional value
