"",BBFN1.M.DE.N.1.L.R12.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:02,
1994-11,.,No value available
1994-12,5.067,
1995-01,5.200,
1995-02,4.927,
1995-03,5.322,
1995-04,5.218,
1995-05,5.316,
1995-06,5.318,
1995-07,5.338,
1995-08,5.484,
1995-09,5.831,
1995-10,6.389,
1995-11,6.411,
1995-12,7.013,
1996-01,6.811,
1996-02,6.828,
1996-03,6.774,
1996-04,7.189,
1996-05,7.153,
1996-06,7.358,
1996-07,7.584,
1996-08,7.584,
1996-09,7.580,
1996-10,7.449,
1996-11,7.586,
1996-12,8.262,
1997-01,8.250,
1997-02,8.167,
1997-03,8.220,
1997-04,8.291,
1997-05,8.318,
1997-06,8.769,
1997-07,8.792,
1997-08,9.275,
1997-09,9.364,
1997-10,9.196,
1997-11,9.073,
1997-12,9.421,
1998-01,9.495,
1998-02,10.101,
1998-03,10.268,
1998-04,10.444,
1998-05,10.191,
1998-06,12.073,
1998-07,12.002,
1998-08,12.030,
1998-09,11.914,
1998-10,11.892,
1998-11,11.656,
1998-12,11.670,
1999-01,11.613,
1999-02,11.500,
1999-03,11.821,
1999-04,11.744,
1999-05,11.851,
1999-06,11.865,
1999-07,11.777,
1999-08,11.833,
1999-09,12.108,
1999-10,19.111,
1999-11,15.097,
1999-12,11.911,
2000-01,11.951,
2000-02,12.183,
2000-03,12.287,
2000-04,12.365,
2000-05,13.203,
2000-06,14.261,
2000-07,14.756,
2000-08,15.135,
2000-09,15.861,
2000-10,15.531,
2000-11,15.789,
2000-12,15.767,
2001-01,14.790,
2001-02,15.268,
2001-03,15.461,
2001-04,15.370,
2001-05,15.967,
2001-06,17.960,
2001-07,17.532,
2001-08,17.586,
2001-09,17.850,
2001-10,18.157,
2001-11,14.430,
2001-12,14.464,
2002-01,13.776,
2002-02,13.555,
2002-03,14.300,
2002-04,13.675,
2002-05,13.856,
2002-06,14.989,
2002-07,15.340,
2002-08,15.185,
2002-09,15.366,
2002-10,14.494,
2002-11,14.794,
2002-12,15.247,
2003-01,18.878,
2003-02,18.957,
2003-03,21.050,
2003-04,20.596,
2003-05,20.529,
2003-06,20.889,
2003-07,21.251,
2003-08,20.756,
2003-09,20.476,
2003-10,20.100,
2003-11,20.306,
2003-12,19.323,
2004-01,18.502,
2004-02,21.838,
2004-03,22.242,
2004-04,24.242,
2004-05,21.156,
2004-06,20.876,
2004-07,20.736,
2004-08,20.029,
2004-09,20.109,
2004-10,19.261,
2004-11,17.874,
2004-12,17.432,
2005-01,16.143,
2005-02,15.847,
2005-03,15.960,
2005-04,16.029,
2005-05,16.666,
2005-06,16.532,
2005-07,16.299,
2005-08,16.368,
2005-09,16.306,
2005-10,16.665,
2005-11,15.463,
2005-12,16.094,
2006-01,15.928,
2006-02,16.184,
2006-03,16.402,
2006-04,16.781,
2006-05,17.871,
2006-06,19.936,
2006-07,19.577,
2006-08,19.379,
2006-09,20.280,
2006-10,20.822,
2006-11,20.396,
2006-12,23.551,
2007-01,22.643,
2007-02,23.901,
2007-03,25.320,
2007-04,26.701,
2007-05,24.794,
2007-06,25.144,
2007-07,24.860,
2007-08,25.571,
2007-09,25.433,
2007-10,25.194,
2007-11,25.912,
2007-12,25.362,
2008-01,24.449,
2008-02,25.682,
2008-03,25.775,
2008-04,25.670,
2008-05,25.872,
2008-06,26.321,
2008-07,26.921,
2008-08,27.088,
2008-09,27.362,
2008-10,27.839,
2008-11,27.626,
2008-12,26.091,
2009-01,25.693,
2009-02,25.644,
2009-03,25.896,
2009-04,25.876,
2009-05,25.639,
2009-06,25.728,
2009-07,25.781,
2009-08,25.961,
2009-09,25.831,
2009-10,25.923,
2009-11,25.983,
2009-12,25.130,
2010-01,25.325,
2010-02,25.222,
2010-03,25.583,
2010-04,25.314,
2010-05,29.132,
2010-06,29.934,
2010-07,29.939,
2010-08,30.273,
2010-09,30.296,
2010-10,30.546,
2010-11,31.253,
2010-12,31.946,
2011-01,31.686,
2011-02,31.093,
2011-03,31.291,
2011-04,31.695,
2011-05,31.601,
2011-06,31.697,
2011-07,32.297,
2011-08,32.651,
2011-09,33.124,
2011-10,32.505,
2011-11,34.036,
2011-12,34.025,
2012-01,32.451,
2012-02,33.558,
2012-03,33.544,
2012-04,34.164,
2012-05,34.055,
2012-06,33.837,
2012-07,34.206,
2012-08,34.571,
2012-09,35.221,
2012-10,34.735,
2012-11,36.013,
2012-12,36.761,
2013-01,37.467,
2013-02,36.706,
2013-03,36.714,
2013-04,36.451,
2013-05,36.592,
2013-06,36.418,
2013-07,38.015,
2013-08,38.874,
2013-09,39.519,
2013-10,38.676,
2013-11,38.821,
2013-12,40.653,
2014-01,40.522,
2014-02,40.135,
2014-03,40.528,
2014-04,40.683,
2014-05,40.634,
2014-06,40.803,
2014-07,40.392,
2014-08,40.888,
2014-09,41.124,
2014-10,40.868,
2014-11,40.533,
2014-12,40.258,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
