"",BBSF2.M.1.S.00000.IMM01.I.F.BGG.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.BGG.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Real estate funds / Participations in real estate companies / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:47,
2009-09,1686,
2009-10,1760,
2009-11,1793,
2009-12,1789,
2010-01,1800,
2010-02,1791,
2010-03,1763,
2010-04,1768,
2010-05,1770,
2010-06,1766,
2010-07,1738,
2010-08,1728,
2010-09,1743,
2010-10,1713,
2010-11,1724,
2010-12,1738,
2011-01,1742,
2011-02,1724,
2011-03,1772,
2011-04,1803,
2011-05,1800,
2011-06,1827,
2011-07,1824,
2011-08,1793,
2011-09,1873,
2011-10,1859,
2011-11,1885,
2011-12,1916,
2012-01,1901,
2012-02,1842,
2012-03,1830,
2012-04,1830,
2012-05,1821,
2012-06,1800,
2012-07,1792,
2012-08,1774,
2012-09,1731,
2012-10,1816,
2012-11,1853,
2012-12,1920,
2013-01,1996,
2013-02,2021,
2013-03,2091,
2013-04,2068,
2013-05,2114,
2013-06,1831,
2013-07,1779,
2013-08,1792,
2013-09,1826,
2013-10,1829,
2013-11,1837,
2013-12,1885,
2014-01,1871,
2014-02,2111,
2014-03,1971,
2014-04,1979,
2014-05,2003,
2014-06,1995,
2014-07,1989,
2014-08,1999,
2014-09,2195,
2014-10,2149,
2014-11,2152,
