"",BBK01.OEBL09N,BBK01.OEBL09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:06,
2002-01,4.485,
2002-04,4.284,
2002-07,4.306,
2002-10,4.080,
2003-01,3.671,
2003-04,3.358,
2003-07,3.076,
2003-10,2.947,
2004-01,2.797,
2004-04,2.632,
2004-07,2.475,
2004-10,2.121,
2005-01,2.268,
2005-04,2.154,
2005-07,1.842,
2005-10,1.820,
2006-01,1.836,
2006-04,2.023,
2006-07,2.232,
2006-10,2.454,
2007-01,3.451,
2007-04,3.946,
2007-07,4.411,
2007-10,5.067,
2008-01,5.398,
2008-04,5.649,
2008-07,5.962,
2008-10,8.764,
2009-01,8.627,
2009-04,8.468,
2009-07,8.407,
2009-10,6.732,
2010-01,5.397,
2010-04,5.191,
2010-07,4.926,
2010-10,5.850,
2011-01,6.739,
2011-04,7.043,
2011-07,7.127,
2011-10,6.811,
2012-01,6.308,
2012-04,6.257,
2012-07,5.851,
2012-10,4.938,
2013-01,4.109,
2013-04,3.501,
2013-07,3.244,
2013-10,3.066,
2014-01,2.939,
2014-04,2.819,
2014-07,3.731,
