"",BBK01.PC3785,BBK01.PC3785_FLAGS
"",Lending to craft trades / Medium-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:25:02,
1985-10,0.007,
1986-01,0.014,
1986-04,0.008,
1986-07,0.008,
1986-10,0.008,
1987-01,0.008,
1987-04,0.010,
1987-07,0.007,
1987-10,0.007,
1988-01,0.006,
1988-04,0.007,
1988-07,0.006,
1988-10,0.007,
1989-01,0.008,
1989-04,0.008,
1989-07,0.005,
1989-10,0.008,
1990-01,0.013,
1990-04,0.010,
1990-07,0.010,
1990-10,0.018,
1991-01,0.011,
1991-04,0.012,
1991-07,0.013,
1991-10,0.015,
1992-01,0.016,
1992-04,0.016,
1992-07,0.016,
1992-10,0.057,
1993-01,0.060,
1993-04,0.058,
1993-07,0.076,
1993-10,0.052,
1994-01,0.086,
1994-04,0.084,
1994-07,0.084,
1994-10,0.094,
1995-01,0.093,
1995-04,0.110,
1995-07,0.106,
1995-10,0.103,
1996-01,0.099,
1996-04,0.074,
1996-07,0.105,
1996-10,0.072,
1997-01,0.069,
1997-04,0.071,
1997-07,0.063,
1997-10,0.062,
1998-01,0.057,
1998-04,0.056,
1998-07,0.051,
1998-10,0.052,
1999-01,0.054,
1999-04,0.088,
1999-07,0.090,
1999-10,0.092,
2000-01,0.093,
2000-04,0.092,
2000-07,0.074,
2000-10,0.081,
2001-01,0.078,
2001-04,0.100,
2001-07,0.103,
2001-10,0.090,
2002-01,0.069,
2002-04,0.076,
2002-07,0.072,
2002-10,0.077,
2003-01,0.076,
2003-04,0.064,
2003-07,0.072,
2003-10,0.074,
2004-01,0.074,
2004-04,0.073,
2004-07,0.059,
2004-10,0.081,
2005-01,0.096,
2005-04,0.097,
2005-07,0.114,
2005-10,0.180,
2006-01,0.143,
2006-04,0.157,
2006-07,0.152,
2006-10,0.175,
2007-01,0.178,
2007-04,0.201,
2007-07,0.199,
2007-10,0.159,
2008-01,0.169,
2008-04,0.222,
2008-07,0.247,
2008-10,0.247,
2009-01,0.277,
2009-04,0.212,
2009-07,0.185,
2009-10,0.209,
2010-01,0.160,
2010-04,0.153,
2010-07,0.168,
2010-10,0.328,
2011-01,0.453,
2011-04,0.250,
2011-07,0.199,
2011-10,0.229,
2012-01,0.209,
2012-04,0.204,
2012-07,0.210,
2012-10,0.200,
2013-01,0.224,
2013-04,0.314,
2013-07,0.290,
2013-10,0.298,
2014-01,0.285,
2014-04,0.291,
2014-07,0.282,
2014-10,0.261,
