"",BBFB1.M.N.DE.W1.S1.S1.T.C.SC32___BH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SC32___BH._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Other modes of transport / Frachten / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:32,
1991-01,129.529,
1991-02,158.226,
1991-03,135.551,
1991-04,137.531,
1991-05,129.717,
1991-06,139.406,
1991-07,117.146,
1991-08,135.104,
1991-09,124.611,
1991-10,134.880,
1991-11,135.962,
1991-12,130.039,
1992-01,139.158,
1992-02,143.821,
1992-03,124.064,
1992-04,149.375,
1992-05,144.774,
1992-06,145.039,
1992-07,132.529,
1992-08,140.404,
1992-09,136.664,
1992-10,141.683,
1992-11,134.739,
1992-12,137.114,
1993-01,131.942,
1993-02,127.781,
1993-03,141.481,
1993-04,128.416,
1993-05,132.028,
1993-06,144.423,
1993-07,114.602,
1993-08,122.964,
1993-09,144.492,
1993-10,134.868,
1993-11,132.345,
1993-12,146.638,
1994-01,129.752,
1994-02,132.848,
1994-03,131.214,
1994-04,137.148,
1994-05,139.049,
1994-06,149.193,
1994-07,138.031,
1994-08,136.772,
1994-09,144.647,
1994-10,144.962,
1994-11,147.420,
1994-12,157.861,
1995-01,154.857,
1995-02,149.538,
1995-03,157.731,
1995-04,153.636,
1995-05,153.367,
1995-06,158.914,
1995-07,150.150,
1995-08,145.125,
1995-09,144.252,
1995-10,156.142,
1995-11,154.756,
1995-12,155.669,
1996-01,151.946,
1996-02,154.051,
1996-03,153.865,
1996-04,154.733,
1996-05,160.348,
1996-06,166.207,
1996-07,154.369,
1996-08,148.485,
1996-09,152.767,
1996-10,166.575,
1996-11,160.225,
1996-12,176.490,
1997-01,146.427,
1997-02,160.332,
1997-03,157.190,
1997-04,171.144,
1997-05,166.152,
1997-06,176.584,
1997-07,183.565,
1997-08,147.521,
1997-09,180.979,
1997-10,193.835,
1997-11,174.785,
1997-12,187.187,
1998-01,182.781,
1998-02,178.037,
1998-03,184.363,
1998-04,187.868,
1998-05,177.167,
1998-06,190.171,
1998-07,205.085,
1998-08,165.880,
1998-09,172.902,
1998-10,192.330,
1998-11,198.003,
1998-12,180.049,
1999-01,165.022,
1999-02,169.109,
1999-03,192.072,
1999-04,177.884,
1999-05,185.378,
1999-06,205.170,
1999-07,192.350,
1999-08,184.658,
1999-09,188.499,
1999-10,194.502,
1999-11,216.273,
1999-12,196.922,
2000-01,189.770,
2000-02,195.716,
2000-03,202.685,
2000-04,206.161,
2000-05,229.101,
2000-06,223.584,
2000-07,214.890,
2000-08,204.197,
2000-09,211.075,
2000-10,232.322,
2000-11,246.579,
2000-12,226.759,
2001-01,229.802,
2001-02,228.407,
2001-03,240.462,
2001-04,234.877,
2001-05,239.682,
2001-06,230.167,
2001-07,237.169,
2001-08,225.224,
2001-09,217.716,
2001-10,249.684,
2001-11,245.840,
2001-12,218.001,
2002-01,212.985,
2002-02,220.402,
2002-03,231.381,
2002-04,237.394,
2002-05,218.479,
2002-06,248.417,
2002-07,240.697,
2002-08,223.275,
2002-09,237.316,
2002-10,248.828,
2002-11,251.566,
2002-12,227.742,
2003-01,224.540,
2003-02,232.975,
2003-03,237.951,
2003-04,232.569,
2003-05,230.566,
2003-06,235.241,
2003-07,246.459,
2003-08,208.647,
2003-09,245.411,
2003-10,248.944,
2003-11,263.105,
2003-12,237.926,
2004-01,228.210,
2004-02,241.361,
2004-03,270.052,
2004-04,256.233,
2004-05,249.684,
2004-06,262.326,
2004-07,260.791,
2004-08,229.503,
2004-09,260.328,
2004-10,267.841,
2004-11,278.856,
2004-12,252.176,
2005-01,135.895,
2005-02,126.951,
2005-03,142.629,
