"",BBK01.OEAC08R,BBK01.OEAC08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:23,
2002-01,0.103,
2002-04,0.116,
2002-07,0.106,
2002-10,0.113,
2003-01,0.115,
2003-04,0.092,
2003-07,0.094,
2003-10,0.094,
2004-01,0.093,
2004-04,0.105,
2004-07,0.105,
2004-10,0.106,
2005-01,0.105,
2005-04,0.102,
2005-07,0.108,
2005-10,0.100,
2006-01,0.097,
2006-04,0.103,
2006-07,0.097,
2006-10,0.101,
2007-01,0.095,
2007-04,0.096,
2007-07,0.099,
2007-10,0.100,
2008-01,0.096,
2008-04,0.098,
2008-07,0.098,
2008-10,0.105,
2009-01,0.108,
2009-04,0.109,
2009-07,0.108,
2009-10,0.103,
2010-01,0.110,
2010-04,0.115,
2010-07,0.117,
2010-10,0.106,
2011-01,0.120,
2011-04,0.135,
2011-07,0.129,
2011-10,0.128,
2012-01,0.118,
2012-04,0.116,
2012-07,0.225,
2012-10,0.263,
2013-01,0.262,
2013-04,0.264,
2013-07,0.249,
2013-10,0.249,
2014-01,0.247,
2014-04,0.253,
2014-07,0.243,
