"",BBK01.OELK02S,BBK01.OELK02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:21,
2002-01,0.238,
2002-04,0.232,
2002-07,0.245,
2002-10,0.264,
2003-01,0.243,
2003-04,0.252,
2003-07,0.268,
2003-10,0.288,
2004-01,0.270,
2004-04,0.276,
2004-07,0.293,
2004-10,0.306,
2005-01,0.277,
2005-04,0.284,
2005-07,0.299,
2005-10,0.327,
2006-01,0.294,
2006-04,0.310,
2006-07,0.325,
2006-10,0.359,
2007-01,0.431,
2007-04,0.451,
2007-07,0.422,
2007-10,0.440,
2008-01,0.407,
2008-04,0.399,
2008-07,0.412,
2008-10,0.432,
2009-01,0.401,
2009-04,0.419,
2009-07,0.470,
2009-10,0.533,
2010-01,0.511,
2010-04,0.520,
2010-07,0.560,
2010-10,0.602,
2011-01,0.551,
2011-04,0.558,
2011-07,0.584,
2011-10,0.633,
2012-01,0.579,
2012-04,0.603,
2012-07,0.645,
2012-10,0.678,
2013-01,0.638,
2013-04,0.638,
2013-07,0.698,
2013-10,0.728,
2014-01,0.690,
2014-04,0.694,
2014-07,0.757,
